manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡡᠨ ᠴᡝᠴᡳᡴᡝ,@n cecike,<动>麦鸡，；风头麦鸡，又叫绿田凫、炭儿。,6,229,229a
ᡡᠯᡝᡨ,@let,〔名〕厄鲁特，旧时蒙古之一部。,6,229,229a
ᡡᠯᡝᡨ ᠰᡳᡵᡩᠠᠨ,@let sirdan,厄鲁特梅针箭。,6,229,229b
ᡡᡵᡝᠨ,@ren,〔名〕①塑像。②尸位。,6,229,229b
ᡡᡵᡝᠨ ᠠᡵᠠᡵᠠ ᡤᡠᠩᡤᡝ ᡝᡵᡩᡝᠮᡠ ᡳ ᠨᠣᠮᡠᠨ,@ren arara gungge erdemu i nomun,<书>造像功德经。,6,229,229b
ᡡᡵᡝᠨ ᠪᡝ ᡝᠪᡳᡧᡝᡵᡝ ᡤᡠᠩᡤᡝ ᡝᡵᡩᡝᠮᡠ ᡳ ᠨᠣᠮᡠᠨ,@ren be ebiSere gungge erdemu i nomun,<书>浴像功德经。,6,229,229c
ᡡᡵᡝᠨ ᠪᡝ ᡨᡠᡥᡝᠪᡠᠮᠪᡳ,@ren be tuhebumbi,踣像。,6,229,229c
ᡡᡵᡝᠨ ᡨᡠᡳᠪᡠᠮᠪᡳ,@ren tuibumbi,上坟烧衣帽。,6,229,229c
ᡡᡵᡝᠨ ᡳ ᠠᡩᠠᠯᡳ ᡨᡠᡧᠠᠨ ᠪᡝ ᡴᠠᡵᠮᠠᠮᠪᡳ,@ren i adali tuSan be karmambi,尸素保位。,6,229,229b
ᡡᡵᡝᠨ ᡳ ᡤᡝᠰᡝ ᠰᠣᠣᡵᡳᠨ ᡩᡝ ᠪᡳᡶᡳ ᠪᠠᡳᠪᡳ,@ren i gese soorin de bifi baibi,尸位素餐。,6,229,229c
ᡡᡵᡝᠨ ᡳ ᡤᡝᠰᡝ ᠰᠣᠣᡵᡳᠨ ᡩᡝ ᠪᡳᡶᡳ ᠪᠠᡳᠪᡳ ᡶᡠᠯᡠᠨ ᠪᡝ ᠵᡝᠮᠪᡳ,@ren i gese soorin de bifi baibi fulun be jembi,尸位食禄。,6,229,229c
ᡡᡵᡝᠨ ᡳ ᡤᡝᠰᡝ ᡨᡠᡧᠠᠨ ᠪᡝ ᠰᠠᡵᡨᠠᠪᡠᠮᠪᡳ,@ren i gese tuSan be sartabumbi,尸位溺职。,6,229,229b
ᡡᡵᡝᠨ ᡳ ᡤᡝᠰᡝ ᡨᡠᡧᠠᠨ ᡩᡝ ᠪᡳᡶᡳ ᡶᡠᠯᡠᠨ ᠪᡝ ᠨᠠᡵᡧᠠᠮᠪᡳ,@ren i gese tuSan de bifi fulun be narSambi,尸位恋禄。,6,229,229c
