manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡧᠠ,Sa,〔名〕〈植〉①山后密林。②杉木。〔不及〕 Sambi 的命令式。,6,543,543a
ᡧᠠᠨ,San,〔名〕①耳，耳朵。②（器皿等两侧的）耳子、耳状提手。③桨桩。④火门，枪炮上烘火药的引火眼儿。,6,543,543a
ᡧᠠᠨ ᠪᡝ ᡤᡳᡩᠠᠮᡝ ᠵᠠᠪᡩᡠᡵᠠᡴᡡ,San be gidame jabdurak@,不及掩耳。,6,543,543b
ᡧᠠᠨ ᠪᡝ ᡤᡳᡩᠠᡶᡳ ᡥᠣᠩᡤᠣᠨ ᠪᡝ ᡥᡡᠯᡥᠠᠮᠪᡳ,San be gidafi honggon be h@lhambi,掩耳盗铃。,6,543,543b
ᡧᠠᠨ ᠮᡳᠯᠠ,San mila,耳奓着。,6,543,543c
ᡧᠠᠨ ᠰᡠᠯᡥᡠᠮᠪᡳ,San sulhumbi,生耳底，患中耳炎。,6,543,543b
ᡧᠠᠨ ᠰᡳᠴᠠᠮᠪᡳ,San sicambi,声大震耳。,6,543,543b
ᡧᠠᠨ ᠵᡳᡤᡝᠶᡝᠨ ᠪᡳᠮᡝ ᡥᡡᠰᡠᠨ ᡝᠪᡝᡵᡝᡴᡝ,San jigeyen bime h@sun ebereke,耳聋力衰。,6,543,543c
ᡧᠠᠨ ᠶᠠᠰᠠ ᡳ ᡤᡝᠰᡝ ᡥᠠᡶᠠᠨ,San yasa i gese hafan,耳目之官。,6,543,543c
ᡧᠠᠨ ᠸᠠᠯᡳᠶᠠᠮᡝ ᡩᠣᠨᠵᡳᠮᠪᡳ,San waliyame donjimbi,侧耳倾听。,6,543,543c
ᡧᠠᠨ ᡤᠠᠪᡨᠠᡴᡡ,San gabtak@,插八梁，房梁名。,6,543,543b
ᡧᠠᠨ ᡤᡠᠸᡝᠩᡴᡝ,San guwengke,耳鸣，系旧清语。,6,543,543c
ᡧᠠᠨ ᡨᠠᡨᠠᠮᡝ ᠠᠯᠠᠮᡝ ᡩᡝᡵᡝ ᡨᠣᡴᠣᠮᡝ ᡨᠠᠴᡳᠪᡠᠮᠪᡳ,San tatame alame dere tokome tacibumbi,耳提面命。,6,543,543b
ᡧᠠᠨ ᡩᠠᠪᡠᠮᠪᡳ,San dabumbi,算入分内，又作 ubu goibumbi。,6,543,543b
ᡧᠠᠨ ᡩᠠᠰᠠᡴᡡ,San dasak@,耳捻子。,6,543,543b
ᡧᠠᠨ ᡩᡝ ᠰᡳᠩᡤᡝᠪᡠᠮᡝ ᡩᡝᡵᡝ ᡩᡝ ᡠᠯᡥᡳᠪᡠᠮᠪᡳ,San de singgebume dere de ulhibumbi,= San tatame alame dere tokome tacibumbi,6,543,543b
ᡧᠠᠨ ᡩᡝ ᡩᠣᠨᠵᡳᠮᡝ ᠶᠠᠰᠠ ᡩᡝ ᠰᠠᠪᡠᠮᠪᡳ,San de donjime yasa de sabumbi,耳闻目睹。,6,543,543c
ᡧᠠᠨ ᡩᡝ ᡩᠣᠨᠵᡳᡶᡳ ᠮᡠᠵᡳᠯᡝᠨ ᠠᡧᡧᠠᠮᠪᡳ,San de donjifi mujilen aSSambi,耳动心。,6,543,543c
ᡧᠠᠨ ᡩᡝ ᡩᠣᠨᠵᡳᡶᡳ ᡤᡡᠨᡳᠨ ᡶᠠᠯᠠᠪᡠᠮᠪᡳ,San de donjifi g@nin falabumbi,耳萦心。,6,543,543c
ᡧᠠᠨ ᡩᡝ ᡳᠴᠠᡴᡡ,San de icak@,逆耳。,6,543,543b
ᡧᠠᠨ ᡴᠠᠮᠴᡳᠮᡝ ᠪᠠᠨᠵᡳᠮᠪᡳ,San kamcime banjimbi,耳抿。,6,543,543b
ᡧᠠᠨ ᡶᡝ,San fe,听到的话多，知道的事多。,6,543,543c
ᡧᠠᠨ ᡶᡝᡨᡝᡴᡠ,San feteku,耳挖子，耳勺。,6,543,543c
ᡧᠠᠨᠠᡥᠠ ᡶᡠᡵᡩᠠᠨ,Sanaha furdan,〈地〉山海关，旧作 Sanahai duka,6,543,543c
ᡧᠠᠨᠠᡥᠠᡳ ᡩᡠᡴᠠ,Sanahai duka,= Sanaha furdan,6,543,543c
ᡧᠠᠨᠰᡳ,Sansi,〔名〕陕西。,6,544,544a
ᡧᠠᠨᠰᡳ ᡤ᠋ᠠᠨ ᠰᡠ ᡳ ᡠᡥᡝᡵᡳ ᡴᠠᡩᠠᠯᠠᡵᠠ ᠠᠮᠪᠠᠨ,Sansi g'an su i uheri kadalara amban,〈宫〉陕西总督。,6,544,544b
ᡧᠠᠨᠰᡳ ᡤᠣᠯᠣᡳ ᠪᠣᠯᡤᠣᠪᡠᡵᡝ ᡶᡳᠶᡝᠨᡨᡝᠨ,Sansi goloi bolgobure fiyenten,〈衙〉陕西清吏司，隶户部，掌核该省钱粮收支，兼管各省茶课及京中各项动支款项；又刑部司名，掌核陕西、甘肃、新疆刑名，收办大理寺、陕西道御史、西城御史、西安将军、伊犁将军等之文移，并复核提牢厅支给囚粮数。,6,544,544a
ᡧᠠᠨᠰᡳ ᡤᠣᠯᠣᡳ ᡩᠣᠣᠯᡳ ᠶᠠᠮᡠᠨ,Sansi goloi dooli yamun,〈衙〉陕西道，顺治元年设，隶都察院，掌核陕西、甘肃、新疆刑名、宝源局。,6,544,544a
ᡧᠠᠨᠰᡳ ᡤᠣᠯᠣᡳ ᡴᡠᠩᡤᡝᡵᡳ,Sansi goloi kunggeri,〈衙〉陕西科，隶吏部。,6,544,544a
ᡧᠠᠨᠰᡳ ᡤᠣᠯᠣᡳ ᡶᠠᠯᡤᠠ,Sansi goloi falga,〈衙〉陕西甲。,6,544,544b
ᡧᠠᠨᠴᡳᠨ,Sancin,〔名〕山赛，要塞，营寨，山上的小城，城堡。,6,544,544c
ᡧᠠᠨᠴᡳᠨ ᠵᠠᠰᡝ,Sancin jase,寨栅。,6,544,544c
ᡧᠠᠨᠴᡳᠨ ᡴᡡᠸᠠᡵᠠᠨ,Sancin k@waran,堡壁。,6,544,544c
ᡧᠠᠨᠴᡳᠨ ᡶᡝᡴᡠᠮᠪᡳ,Sancin fekumbi,跳营寨，指军队攻打拔寨。,6,544,544c
ᡧᠠᠨᠴᡳᠨ ᡳ ᡩᠠ,Sancin i da,寨头，寨主。,6,544,544c
ᡧᠠᠨᠴᡳᠯᠠᠮᠪᡳ,Sancilambi,〔不及〕安营扎寨，指修筑要塞、山寨等，系旧清语， Sancin jafambi 之意。,6,544,544c
ᡧᠠᠨᠶᠠᠨ,Sanyan,〔形〕①白的，白色的。②素的。〔名〕①庚，天干之第七位。②伏，时令名。,6,544,544c
ᡧᠠᠨᠶᠠᠨ ᠠᠯᠠᠨ,Sanyan alan,〈植〉白桦皮，参见 fiyan。,6,544,544c
ᡧᠠᠨᠶᠠᠨ ᠠᠯᡳᠨ,Sanyan alin,〈地〉白山，指长白山。,6,544,544c
ᡧᠠᠨᠶᠠᠨ ᠨᡳᠣᡵᠣᠨ ᡧᡠᠨ ᠪᡝ ᡠᠯᡳᠮᠪᡳ,Sanyan nioron Sun be ulimbi,白虹贯日。,6,545,545a
ᡧᠠᠨᠶᠠᠨ ᠨᡳᠰᡳᡥᠠ,Sanyan nisiha,〈动〉黄鲴鱼。,6,545,545a
ᡧᠠᠨᠶᠠᠨ ᠪᠠᡳᠪᡠᠯᠠ,Sanyan baibula,〈动〉白练，飞禽名。,6,545,545a
