manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᠠ,a,〔名〕①字牙，书写满文字的字画。②阳，跟阴相对。〔感〕啊，表示疑问、反对、疑惑、应诺或醒悟。,6,1,1a
ᠠ ᠠ,a a,啊啊，表示随便应答声。,6,1,1a
ᠠ ᠰᡳ,a si,逐鸡鸟声。,6,1,1a
ᠠ ᠰᡳ ᠰᡝᠮᡝ,a si seme,逐赶鸡雀状。,6,1,1a
ᠠ ᠵᡳᠵᡠᠨ ᡳ ᠠᠴᠠᠩᡤᠠ,a jijun i acangga,阳文合符，系铜铸阳文，存于内延，以作夜间开城门之凭。,6,1,1a
ᠠ ᡨᠠ ᠰᡝᠮᡝ,a ta seme,= a si seme,6,1,1a
ᠠᠣ,ao,〔感〕噢，表示同意或惊诧等。,6,10,10b
ᠠᠣᡥᠠᠨ,aohan,〔名〕敖汉，古代蒙古敖汉部，其东界奈曼，南界土默特，西界喀拉沁，北界翁牛特。,6,10,10b
ᠠᠨ,an,〔名〕①场，恒久。②平素，平常，平庸，寻常，普通。③照旧，照常，仍旧。④本分。⑤风俗，习俗。,6,10,10b
ᠠᠨ ᠠᡴᡡ,an ak@,无定规，无常。,6,10,10b
ᠠᠨ ᠨᠠᠨ,an nan,<地>安南。,6,11,11b
ᠠᠨ ᠨᡝᡴᡠ,an neku,伙计。,6,11,11b
ᠠᠨ ᠪᡝ ᡝᡶᡠᠯᡝᠮᡝ ᡴᠣᠣᠯᡳ ᠪᡝ ᡶᠠᠴᡠᡥᡡᡵᠠᠮᠪᡳ,an be efuleme kooli be facuh@rambi,败常乱俗。,6,11,11b
ᠠᠨ ᠪᡝ ᡠᠵᡝᠯᡝᠮᡝ ᡩᠣᡵᠣᠯᠣᠨ ᠪᡝ ᡝᠨᡨᡝᡥᡝᠮᡝ ᠣᠪᡠᠮᠪᡳ,an be ujeleme dorolon be enteheme obumbi,惇典庸礼。,6,11,11b
ᠠᠨ ᠪᡝ ᡤᡡᡨᡠᠪᡠᠮᡝ ᡨᠠᠴᡳᠨ ᠪᡝ ᡝᡶᡠᠯᡝᠮᠪᡳ,an be g@tubume tacin be efulembi,伤风败俗。,6,11,11b
ᠠᠨ ᠪᡝ ᡥᠠᠯᠠᠮᡝ ᡴᠣᠣᠯᡳ ᠪᡝ ᡩᠠᠰᠠᠮᠪᡳ,an be halame kooli be dasambi,= kooli be halame toktobumbi,6,11,11b
ᠠᠨ ᠪᡝ ᡨᡠᠸᠠᡴᡳᠶᠠᠮᡝ ᡤᡳᠶᠠᠨ ᠪᡝ ᡩᠠᡥᠠᠮᠪᡳ,an be tuwakiyame giyan be dahambi,安分循理。,6,11,11c
ᠠᠨ ᠪᡝ ᡨᡠᠸᠠᡴᡳᠶᠠᠮᡝ ᡴᡝᠮᡠᠨ ᠪᡝ ᡩᠠᡥᠠᠮᠪᡳ,an be tuwakiyame kemun be dahambi,安常守节。,6,11,11b
ᠠᠨ ᠪᡝ ᡨᡠᠸᠠᡴᡳᠶᠠᡵᠠᡴᡡ,an be tuwakiyarak@,不守本分。,6,11,11c
ᠠᠨ ᠪᡝ ᡶᠣᡵᡤᠣᡧᠣᠮᡝ ᡴᠣᠣᠯᡳ ᡥᠠᠯᠠᠮᠪᡳ,an be forgoSome kooli halambi,移风易俗。,6,11,11c
ᠠᠨ ᠴᠣᡴᠣ,an coko,<动>糠鸡。,6,11,11c
ᠠᠨ ᠴᡳ ᡩᠠᠪᠠᠮᠪᡳ,an ci dabambi,越轨。,6,11,11c
ᠠᠨ ᠴᡳᡴᡨᠠᠨ,an ciktan,彝伦。,6,11,11c
ᠠᠨ ᠴᡳᡴᡨᠠᠨ ᡳ ᡨᠠᠩᡤᡳᠨ,an ciktan i tanggin,<衙>彝伦唐，即皇帝临雍讲述之堂。,6,11,11c
ᠠᠨ ᠸᡝᡥᡝ,an wehe,磨刀石，又作木变石。,6,11,11c
ᠠᠨ ᡥᡡᡳ,an h@i,<地>安徽，简称皖。,6,11,11b
