manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᠪᠠ,ba,〔名〕①地，土地，大地。②地方，地域，地区，地带。③地点，方位。④里程，路程。⑤位，席位，位置。〔量〕里： orin ba 二十里。,6,380,380a
ᠪᠠ ᠠᠮᠪᠠ ᠵᡠᡤᡡᠨ ᠪᡝ ᠠᠯᡳᠮᠪᡳ,ba amba jug@n be alimbi,地当孔道。,6,380,380a
ᠪᠠ ᠠᡵᠠᠮᠪᡳ,ba arambi,①腾出地方。②躲避，= jailambi。,6,380,380a
ᠪᠠ ᠣᠨᠴᠣ ᡳᡵᡤᡝᠨ ᡶᡳᠰᡳᠨ,ba onco irgen fisin,地广民稠。,6,380,380a
ᠪᠠ ᠨᠠ ᠣᠨᠴᠣ ᠠᠮᠪᠠ,ba na onco amba,幅员辽阔。,6,380,380b
ᠪᠠ ᠨᠠ ᠣᠨᠴᠣ ᠯᡝᠯᡳ,ba na onco leli,= ba na onco amba,6,380,380b
ᠪᠠ ᠨᠠ ᠪᡝ ᡠᡵᡝᠮᡝ ᠰᠠᠮᠪᡳ,ba na be ureme sambi,熟谙地理。,6,380,380c
ᠪᠠ ᠨᠠ ᠪᡝ ᡩᠠᠰᡳᡥᡳᠶᠠᠮᡝ ᠪᠣᡩᠣᠮᠪᡳ,ba na be dasihiyame bodombi,经略土地。,6,380,380c
ᠪᠠ ᠨᠠ ᠪᡝ ᡴᠠᡩᠠᠯᠠᡵᠠ ᡥᠠᡶᠠᠨ,ba na be kadalara hafan,= ba na i ambakan hafan,6,380,380c
ᠪᠠ ᠨᠠ ᡩᡝ ᡠᠯᡥᡳᠶᡝᠨ ᡳ ᠸᡝᠨᠵᡝᡥᡠᠨ ᠣᠮᡝ ᡩᡝᡵᡳᠪᡠᠮᠪᡳ,ba na de ulhiyen i wenjehun ome deribumbi,地方渐有起色。,6,380,380c
ᠪᠠ ᠨᠠ ᡴᠣᠴᠣ ᠸᠠᡳ ᡩᡝ ᠪᡳ,ba na koco wai de bi,地处偏僻。,6,380,380b
ᠪᠠ ᠨᠠ ᡳ ᠠᠮᠪᠠᡴᠠᠨ ᡥᠠᡶᠠᠨ,ba na i ambakan hafan,地方大员。,6,380,380a
ᠪᠠ ᠨᠠ ᡳ ᠠᡵᠪᡠᠨ ᡩᡝᡴᡝᠨ ᠣᠮᡝ ᡶᡠᡵᡤᡳᠪᡠᠮᠪᡳ,ba na i arbun deken ome furgibumbi,地垫淤垫。,6,380,380a
ᠪᠠ ᠨᠠ ᡳ ᠠᡵᠪᡠᠨ ᡩᡠᡵᠰᡠᠨ,ba na i arbun dursun,地方情形。,6,380,380b
ᠪᠠ ᠨᠠ ᡳ ᠠᡵᠪᡠᠨ ᡶᠠᠩᡴᠠᠯᠠ ᠨᡠᡥᠠᠯᡳᠶᠠᠨ,ba na i arbun fangkala nuhaliyan,地势低洼。,6,380,380b
ᠪᠠ ᠨᠠ ᡳ ᠨᡳᡵᡠᡤᠠᠨ,ba na i nirugan,地图，舆图。,6,380,380b
ᠪᠠ ᠨᠠ ᡳ ᠨᡳᡵᡠᡤᠠᠨ ᠨᡳᡵᡠᡵᡝ ᠪᠣᠣ,ba na i nirugan nirure boo,〈衙〉舆图房，隶内务府下养心殿造办处。,6,380,380b
ᠪᠠ ᠨᠠ ᡳ ᡤᡝᡵᡝᠨ ᡨᠠᠴᡳᠨ ᠪᡝ ᡠᡵᡝᠮᡝ ᠰᠠᠮᠪᡳ,ba na i geren tacin be ureme sambi,熟悉风土。,6,380,380b
