manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᠴ᠋ᠶ,c'y,〔名〕笞。〔量〕尺： susai c'y c'ylembi 笞五十。,6,1097,1097b
ᠴ᠋ᠶ ᠵᡠᡵᡥᡠᠨ ᡳ ᡤᡝᠰᡝ ᡤᠣᡵᠣ ᠠᡴᡡ,c'y jurhun i gese goro ak@,近在咫尺。,6,1097,1097b
ᠴ᠋ᠶᠯᡝᠮᠪᡳ︕,c'ylembi!,〔及〕笞之。,6,1097,1097b
ᠴ᠋ᠶᠯᡝᡵᡝ ᠸᡝᡳᠯᡝ,c'ylere weile,笞罪。,6,1097,1097b
ᠴᠠ,ca,〔名〕板筋，常与 sube 连用，即 sube ca。〔及〕 cambi 的命令式。,6,793,793a
ᠴᠠ ᠮᠠᠩᡤᠠ,ca mangga,难缠的。,6,793,793a
ᠴᠠᠣ ᠰᡝᠮᡝ ᠶᠠᠪᡠᠮᠪᡳ,cao seme yabumbi,径直走，（目不旁视地）赶路，兼程急行。,6,793,793c
ᠴᠠᠨ,can,〔名〕①（鸣金的）金，铜鼓。②小撇碗。,6,793,793c
ᠴᠠᠨ ᠨᡳᠮᠠᡥᠠ,can nimaha,〈动〉龙肝鱼。,6,793,793c
ᠴᠠᠨ ᡶᠣᡵᡳᠮᠪᡳ,can forimbi,（军中）击刁斗。,6,793,793c
ᠴᠠᠨᠠᠩᡤᡳ,cananggi,〔名〕①前天，前日。②向者。,6,793,793c
ᠴᠠᠨᠵᡠᡵᠠᠮᠪᡳ,canjurambi,〔不及〕①躬身，俯身，弯腰，哈腰。②作揖，拜谢： lu siy@n ebuhu sabuh@ morin ci ebufi canjurame baniha arafi bederehe 陆逊慌忙下马拜谢而回； neciken canjurambi 手揖。,6,793,793c
ᠴᠠᠨᠵᡠᡵᠠᠮᡝ ᠠᠨᠠᡥᡡᠨᠵᠠᠮᠪᡳ,canjurame anah@njambi,揖让。,6,793,793c
ᠴᠠᠩ ᠰᡝᠮᡝ,cang seme,①镗噔，弹弓弦声。②硬的，很硬的。③硬朗的，矍铄的。,6,793,793c
ᠴᠠᠩ ᠰᡝᠮᡝ ᠮᠠᠩᡤᠠ,cang seme mangga,坚硬。,6,794,794a
ᠴᠠᠩ ᠴᠠᠩ,cang cang,①镗镗，指锣声。②丁当，指打铁声。,6,794,794a
ᠴᠠᠩ ᠴᡠᠨ ᠶᡠᠸᠠᠨ,cang cun yuwan,畅春园，康熙时改建，为皇帝驻跸之所，初由奉宸苑管理，乾隆二十九年改派总管大臣管理。,6,794,794a
ᠴᠠᠩ ᠴᡳᠩ,cang cing,玱玱，指钟磬声。,6,794,794a
ᠴᠠᠩ ᡯᠠᡳ,cang dzai,常在，参见 da ing。,6,794,794a
