manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡩᠠ,da,"〔名〕①头目，首领，长官。②根，本，源： hecen da 墙根； fulehe da 根本。③原来，原本，原先，起初。④原，封谥等处用语，其 fengSen amaga jalan de selgiyebuhengge be da sembi 庆流奕叶曰原。〔量〕①庹，约五尺合为一庹，相当于成人两臂左右平伸时两手间的距离。②张、枝、根、条、颗、尾、杆： buh@ waha hafan cooha de Sangnaha beri sunja, sirdan juwe tangg@ da 赏给杀鹿官兵弓五张、箭二百枝； jursu bosoi fulh@ juwe da 来布口袋二条，〔及、不及〕 dambi 的命令式。",6,651,651a
ᡩᠠ ᠠᠨ ᡳ,da an i,照常，照旧。,6,651,651a
ᡩᠠ ᠠᠨ ᡳ ᠠᠯᠪᠠᠨ ᡩᡝ ᠶᠠᠪᡠᠮᠪᡳ,da an i alban de yabumbi,照例供职。,6,651,651a
ᡩᠠ ᠠᠨ ᡳ ᠣᠪᡠᠮᠪᡳ,da an i obumbi,①开复，复职。②还俗。③恢复原状。,6,651,651a
ᡩᠠ ᠠᠨ ᡳ ᠣᠪᡠᠮᡝ ᠰᡠᡴᠰᠠᠯᠠᠮᠪᡳ,da an i obume suksalambi,垦复。,6,651,651b
ᡩᠠ ᠠᠨ ᡳ ᠣᠪᡠᠮᡝ ᡩᠠᠰᠠᡨᠠᠮᡝ ᠮᡠᡨᡝᡵᠠᡴᡡ,da an i obume dasatame muterak@,难以修复。,6,651,651b
ᡩᠠ ᠠᠨ ᡳ ᠣᠪᡠᡵᡝ ᠪᡝ ᠪᠠᡳᠮᡝ ᠪᡳᡨᡥᡝ ᠠᠯᡳᠪᡠᠮᠪᡳ,da an i obure be baime bithe alibumbi,呈请开复。,6,651,651b
ᡩᠠ ᠠᠨ ᡳ ᠣᠪᡠᡵᡝ ᠪᡝ ᠸᡝᠰᡳᠮᠪᡠᡵᡝ ᠵᠠᠯᡳᠨ,da an i obure be wesimbure jalin,为具题开复事。,6,651,651b
ᡩᠠ ᠠᠨ ᡳ ᠣᠪᡠᡵᡝ ᠪᡝ ᡤᡝᡨᡠᡴᡝᠯᡝᠮᡝ ᡨᡠᠴᡳᠪᡠᠮᠪᡳ,da an i obure be getukeleme tucibumbi,申明开复。,6,651,651b
ᡩᠠ ᠠᠨ ᡳ ᠣᠪᡠᡵᡝ ᠵᠠᠯᡳᠨ ᠠᡳᠰᡳᠯᠠᠮᡝ ᠵᠠᡶᠠᡴᡳ ᠰᡝᠮᡝ ᠪᠠᡳᠮᡝ ᠪᡳᡨᡥᡝ ᠠᠯᡳᠪᡠᠮᠪᡳ,da an i obure jalin aisilame jafaki seme baime bithe alibumbi,呈请捐复，呈请捐纳以期开复。,6,651,651b
ᡩᠠ ᠠᠨ ᡳ ᠣᠪᡠᡶᡳ ᠣᡵᠣᠨ ᠪᡝ ᠠᠯᡳᠶᠠᠪᡠᠮᠪᡳ,da an i obufi oron be aliyabumbi,开复侯补。,6,651,651b
ᡩᠠ ᠠᠨ ᡳ ᠣᠪᡠᡶᡳ ᠪᡝᠶᡝᠪᡝ ᡨᡠᠸᠠᠪᡠᠮᠪᡳ,da an i obufi beyebe tuwabumbi,开复引见。,6,651,651b
ᡩᠠ ᠠᠨ ᡳ ᡝᡨᡠᡥᡠᡧᡝᠮᡝ ᡩᠠᠪᠠᡧᠠᠮᠪᡳ,da an i etuhuSeme dabaSambi,跋扈如故。,6,651,651a
ᡩᠠ ᠠᠨ ᡳ ᡨᡠᡧᠠᠨ ᡩᡝ ᠪᡳᠮᠪᡳ,da an i tuSan de bimbi,照旧供职。,6,651,651b
