manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡝ,e,〔名〕阴，跟阳相对。〔感〕①欸，表示轻视人或不以为然的口气。②哎，表示惊奇的语气。,6,77,77a
ᡝ ᠮᡝ ᡳ(ᠮᡝᡳ) ᠠᠯᡳᠨ,e me i(mei) alin,<地>峨嵋山。,6,77,77a
ᡝ ᠵᡳᠵᡠᠨ ᡳ ᠠᠴᠠᠩᡤᠠ,e jijun i acangga,阴文合符，即铜铸阴文，为夜间开城门之凭。,6,77,77a
ᡝᠨ,en,〔感〕嗯，即答应声。,6,80,80a
ᡝᠨ ᠵᡝ ᠰᡝᠮᡝ ᡠᡵᡤᡠᠨᠵᡝᠮᡝ ᡩᠠᡥᠠᠮᠪᡳ,en je seme urgunjeme dahambi,唯诺悦从。,6,80,80a
ᡝᠨ ᠵᡝ ᠰᡝᠮᡝ ᡩᠠᡥᠠᠴᠠᠮᡝ ᠠᠴᠠᠪᡠᠮᠪᡳ,en je seme dahacame acabumbi,唯诺承顺。,6,80,80a
ᡝᠨ ᠵᡝᠨ ᡳ,en jen i,现成的。,6,80,80a
ᡝᠨ ᠵᡝᠨ ᡳ ᠪᠠᡥᠠᠪᡳ,en jen i bahabi,备办现成。,6,80,80a
ᡝᠨ ᠵᡝᠨ ᡳ ᠪᡝᠯᡥᡝᡥᡝᠪᡳ,en jen i belhehebi,备齐，准备现成。,6,80,80a
ᡝᠨ ᠵᡝᠨ ᡳ ᡳᠴᡳᡥᡳᠶᠠᠮᡝ ᠰᡳᠨᡩᠠᠮᠪᡳ,en jen i icihiyame sindambi,殡葬周备。,6,80,80a
ᡝᠨ ᡝᠨ,en en,①嗯嗯，即随应词。②唯唯。,6,80,80a
ᡝᠨᠮᡧᡝᠮᡝ ᠨᠠᡵᠠᡧᠠᠮᠪᡳ,enmSeme naraSambi,贪恋。,6,242,242b
ᡝᠨᠴᡝᠮᠪᡳ,encembi,〔及〕分放，即在筵席上分着放酒食等物。,6,85,85c
ᡝᠨᠴᡝᡥᡝᠨ,encehen,〔名〕①能力，才能，本领： toodara encehen ak@ 无力偿还。②资财，资产。,6,85,85c
ᡝᠨᠴᡝᡥᡝᠨ ᠠᡴᡡ ᠶᠠᡩᠠᡵᠠ ᡳᡵᡤᡝᠰᡝ,encehen ak@ yadara irgese,无力贫民。,6,85,85c
ᡝᠨᠴᡝᡥᡝᠨ ᠠᡴᡡ ᡤᡡᠰᠠᡳ ᡥᠠᡥᠠᠰᡳ,encehen ak@ g@sai hahasi,无力旗丁。,6,85,85c
ᡝᠨᠴᡝᡥᡝᠨ ᠪᡳᠰᡳᡵᡝ ᠪᠣᠣ,encehen bisire boo,有力之家。,6,85,85c
ᡝᠨᠴᡝᡥᡝᠨ ᠸᠠᠵᡳᡥᠠ,encehen wajiha,财势。,6,85,85c
ᡝᠨᠴᡝᡥᡝᠨ ᡥᠣᡵᠣᠨ ᡩᡝ ᡝᡵᡨᡠᠮᠪᡳ,encehen horon de ertumbi,财势自持。,6,85,85c
ᡝᠨᠴᡝᡥᡝᠨ ᡥᡝᡨᡥᡝ,encehen hethe,恒产。,6,85,85c
ᡝᠨᠴᡝᡥᡝᠨ ᡨᠣᠩᡤᠠ ᠪᡳᠮᡝ ᡠᠵᡝᠨ ᠪᡝ ᠠᠯᡳᠮᠪᡳ,encehen tongga bime ujen be alimbi,力小任重。,6,85,85c
ᡝᠨᠴᡝᡥᡝᠩᡤᡝ,encehengge,〔形〕①有能力的，有能耐的。②有资产的，富裕的。,6,85,85c
ᡝᠨᠴᡝᡥᡝᠩᡤᡝ ᠪᠣᠣ,encehengge boo,势家。,6,85,85c
ᡝᠨᠴᡝᡥᡝᠩᡤᡝ ᡝᡥᡝᠩᡤᡝ,encehengge ehengge,豪恶。,6,85,85c
ᡝᠨᠴᡝᡥᡝᠩᡤᡝ ᡩᡝ ᡩᠠᠶᠠᠨᠠᠮᡝ ᡨᠣᠣᠰᡝᠩᡤᡝ ᡩᡝ ᠰᡳᡥᡝᡧᡝᠮᠪᡳ,encehengge de dayaname toosengge de siheSembi,趋炎附势。,6,85,85c
ᡝᠨᠴᡝᡥᡝᡧᡝᠮᠪᡳ,enceheSembi,〔不及〕①钻营。②恃强，显示才能。,6,85,85c
ᡝᠨᠴᡝᡥᡝᡧᡝᠮᡝ ᠵᠠᡳᠯᠠᡨᠠᠮᠪᡳ,enceheSeme jailatambi,夤缘规避，夤缘潜逃。,6,85,85c
ᡝᠨᠴᡝᡥᡝᡧᡝᠮᡝ ᠶᠠᠪᡠᠮᠪᡳ,enceheSeme yabumbi,①呈势。②央烦。,6,86,86a
ᡝᠨᠴᡝᡥᡝᡧᡝᠮᡝ ᡠᠯᡳᠨᡨᡠᠮᡝ ᠶᠠᠪᡠᠮᠪᡳ,enceheSeme ulintume yabumbi,央烦贿赂。,6,85,85c
ᡝᠨᠴᡝᡥᡝᡧᡝᠮᡝ ᡩᡠᡵᡳᠮᠪᡳ,enceheSeme durimbi,豪夺。,6,85,85c
ᡝᠨᠴᡝᡥᡝᡩᡝᠮᠪᡳ,encehedembi,〔不及〕= enceheSembi,6,86,86a
ᡝᠨᠴᡠ,encu,〔代〕别的，另外的，以外的。〔形〕异，另，不一样的，不同的。,6,86,86a
ᡝᠨᠴᡠ ᠠᡳᠮᠠᠨ,encu aiman,异域 ；别的部落。,6,86,86a
ᡝᠨᠴᡠ ᠠᡵᠰᠠᡵᡳ ᠪᡝᠯᡝ ᡠᡩᠠᡶᡳ ᠵᡝᠮᠪᡳ,encu arsari bele udafi jembi,另购次米食用。,6,86,86a
ᡝᠨᠴᡠ ᠪᠠᡳᡨᠠ ᠠᡴᡡ,encu baita ak@,别无勾当，再无别事。,6,86,86b
ᡝᠨᠴᡠ ᠪᠠᡳᡨᠠᡳ ᠵᠠᠯᡳᠨ ᡝᠮᡠ ᠵᡝᡵᡤᡳ ᠸᠠᠰᡳᠪᡠᡶᡳ ᡶᠣᡵᡤᠣᡧᠣᠮᡝ ᠪᠠᡳᡨᠠᠯᠠᠮᠪᡳ,encu baitai jalin emu jergi wasibufi forgoSome baitalambi,另案降一级调用。,6,86,86b
ᡝᠨᠴᡠ ᠪᠣᡳᡤᠣᠨ ᡳ ᠨᡳᠶᠠᠯᠮᠠ,encu boigon i niyalma,另户人，指另行自立户籍之人。,6,86,86b
ᡝᠨᠴᡠ ᠮᡠᡨᡝᡵᡝ ᠨᡳᠶᠠᠯᠮᠠ,encu mutere niyalma,异能之士。,6,86,86c
ᡝᠨᠴᡠ ᠯᡝᠣᠯᡝᠨ ᠪᠠᠨᠵᡳᠪᡠᠮᠪᡳ,encu leolen banjibumbi,妄生异议。,6,86,86c
ᡝᠨᠴᡠ ᠰᠠᡳᠨ ᡥᠠᡶᠠᠨ ᠪᡝ ᡨᡠᠴᡳᠪᡠᠮᠪᡳ,encu sain hafan be tucibumbi,另委妥员。,6,86,86b
ᡝᠨᠴᡠ ᠰᠣᠨᠵᠣᠮᡝ ᠪᠠᡳᡨᠠᠯᠠᡵᠠ ᠪᡝ ᠠᠯᡳᠶᠠᠮᠪᡳ,encu sonjome baitalara be aliyambi,员候简用。,6,86,86b
ᡝᠨᠴᡠ ᡠᠪᠠᠯᡳᠶᠠᠮᠪᡠᡥᠠ ᡥᠠᠴᡳᠩᡤᠠ ᠠᡤ᠋ᠠᠮᠠ ᠨᠣᠮᡠᠨ,encu ubaliyambuha hacingga ag'ama nomun,<书>别译杂阿含经。,6,86,86a
ᡝᠨᠴᡠ ᡤᠣᠯᠣ ᡩᡝ ᡤᠠᠨᠠᠪᡠᠮᠪᡳ,encu golo de ganabumbi,隔省关提，指案犯不在本省，移文外省提人。,6,86,86a
ᡝᠨᠴᡠ ᡤᡝᠪᡠ ᡥᠠᠴᡳᠨ ᠪᡳ,encu gebu hacin bi,另有名目。,6,86,86c
ᡝᠨᠴᡠ ᡤᡝᡨᡠᡴᡝᠨ ᠠᡶᠠᡥᠠ ᠠᡵᠠᠮᠪᡳ,encu getuken afaha arambi,另缮清单。,6,86,86c
ᡝᠨᠴᡠ ᡥᠠᠯᠠᡳ ᡠᠵᡳᡥᡝ ᠵᡠᡳ,encu halai ujihe jui,义子。,6,86,86a
ᡝᠨᠴᡠ ᡥᠠᠴᡳᠨ ᠪᡝ ᠰᠠᠪᡠᡶᡳ ᡤᡠᡵᡳᠨᡝᡵᡝ ᠪᡝ ᡤᡡᠨᡳᠮᠪᡳ,encu hacin be sabufi gurinere be g@nimbi,见异思迁。,6,86,86b
ᡝᠨᠴᡠ ᡥᠠᠴᡳᠨ ᡳ ᠪᠣᠣᠪᠠᡳ,encu hacin i boobai,异珍。,6,86,86a
ᡝᠨᠴᡠ ᡥᠠᠴᡳᠨ ᡳ ᠪᠣᠯᠣᡵᡳ ᡤᠠᠰᡥᠠᠨ,encu hacin i bolori gashan,异常秋灾。,6,86,86b
ᡝᠨᠴᡠ ᡥᠠᠴᡳᠨ ᡳ ᠮᠣᠣ,encu hacin i moo,异木。,6,86,86b
ᡝᠨᠴᡠ ᡥᠠᠴᡳᠨ ᡳ ᠮᡠᡴᡝᡳ ᡤᠠᠰᡥᠠᠨ,encu hacin i mukei gashan,异常水灾。,6,86,86a
ᡝᠨᠴᡠ ᡥᠠᠴᡳᠨ ᡳ ᠵᠠᡴᠠᡳ ᡝᠵᡝᡨᡠᠨ,encu hacin i jakai ejetun,<书>异物志。,6,86,86b
ᡝᠨᠴᡠ ᡥᠠᠴᡳᠨ ᡳ ᠵᠣᠪᠣᠯᠣᠨ,encu hacin i jobolon,非常之患。,6,86,86b
ᡝᠨᠴᡠ ᡥᠠᠴᡳᠨ ᡳ ᡥᡳᠶᠠ ᡤᠠᠰᡥᠠᠨ,encu hacin i hiya gashan,异常旱灾。,6,86,86a
ᡝᠨᠴᡠ ᡥᠠᠴᡳᠨ ᡳ ᡨᡠᠪᡳᡥᡝ,encu hacin i tubihe,异样果品。,6,86,86b
ᡝᠨᠴᡠ ᡥᠠᠴᡳᠨ ᡳ ᡩᡝᠮᡠᠨ,encu hacin i demun,异端，又作 encu demun,6,86,86b
ᡝᠨᠴᡠ ᡥᠠᠴᡳᠨ ᡳ ᡳᠯᡥᠠ,encu hacin i ilha,异花。,6,86,86a
ᡝᠨᠴᡠ ᡥᠠᠴᡳᠨ ᡳ ᡴᡝᠪ ᠰᡝᠮᡝ ᡥᠠᠵᡳᠯᠠᠮᠪᡳ,encu hacin i keb seme hajilambi,欢洽异常。,6,86,86b
ᡝᠨᠴᡠ ᡥᠠᡶᡳᡵᠠᡥᠠ ᠠᡶᠠᡥᠠ ᠠᡵᠠᠮᠪᡳ,encu hafiraha afaha arambi,另缮夹单。,6,86,86b
ᡝᠨᠴᡠ ᡨᠠᠴᡳᠨ,encu tacin,异俗。,6,86,86b
ᡝᠨᠴᡠ ᡨᡝᠮᠪᡳ,encu tembi,另居，不同居。,6,86,86c
ᡝᠨᠴᡠ ᡨᡠᠸᠠᠮᠪᡳ,encu tuwambi,歧视，另眼看待。,6,86,86c
ᡝᠨᠴᡠ ᡨᡠᠸᠠᡥᠠ ᠪᠠ ᠠᡴᡡ,encu tuwaha ba ak@,罔尤歧视。,6,86,86c
ᡝᠨᠴᡠ ᡨᡠᡵᡤᡠᠨ,encu turgun,别故。,6,86,86c
ᡝᠨᠴᡠ ᡩᡝᠮᡠᠨ ᠮᡳᠣᠰᡳᡥᠣᠨ ᡨᠠᠴᡳᠨ,encu demun miosihon tacin,异端曲学。,6,86,86c
ᡝᠨᠴᡠ ᡳᠣ ᡨᡳᠶᡝᡳ ᠰᡝᡵᡝ ᠪᡳᡨᡥᡝ ᠪᡠᠮᠪᡳ,encu io tiyei sere bithe bumbi,另给由帖，清代用于给商行硝盐茶等之一种执照。,6,86,86a
ᡝᠨᠴᡠ ᡳᠯᡤᠠᠪᡠᠨ,encu ilgabun,异别。,6,86,86a
ᡝᠨᠴᡠ ᡳᠯᡩᡠᠩᡤᠠ ᡩᡠᡴᠠ ᠨᡝᡳᠮᠪᡳ,encu ildungga duka neimbi,另开便门。,6,86,86a
ᡝᠨᠴᡠ ᡴᡳᠮᡠᠨ ᡥᡝᡶᡝᠯᡳᠶᡝᠮᠪᡳ,encu kimun hefeliyembi,另有挟嫌。,6,86,86c
