manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡶᠠ,fa,〔名〕窗户。,6,1017,1017a
ᡶᠠ ᠴᡳᡴᡳᠨ,fa cikin,窗台。,6,1017,1017a
ᡶᠠ ᡠᠯᡥᡡᠮᠠ,fa ulh@ma,〈动〉乌雉。,6,1017,1017a
ᡶᠠᠨ,fan,〔名〕大木方盘，此盘也有圆的。,6,1018,1018c
ᡶᠠᠨ ᡩᠠᠰᠠᡶᡳ ᡨᡠᡴᡳᠶᡝᡥᡝ,fan dasafi tukiyehe,备盘敬客，将各种好吃的东西收拾放在盘内敬客。,6,1018,1018c
ᡶᠠᠨ ᡶᡝᡵᡝ,fan fere,山谷深窄处。,6,1018,1018c
ᡶᠠᠨᠴᠠᠪᡠᠮᠪᡳ,fancabumbi,〔及、不及〕① fancambi 的使动、被动态。②闷，闷着，生闷。③（用插销）插上，（用别棍儿）别住，（用挂锁）锁住，将禁城门下钱粮锁住。,6,1019,1019a
ᡶᠠᠨᠴᠠᠮᠪᡳ,fancambi,〔不及〕①生气，恼怒，愤恨，愤怒。②闷，烦闷，闷热。③锁簧乍开。,6,1019,1019a
ᡶᠠᠨᠴᠠᠮᡝ ᠨᠠᡴᠠᡵᠠᡴᡡ,fancame nakarak@,怀恨莫释。,6,1019,1019a
ᡶᠠᠨᠴᠠᠮᡝ ᠰᡝᠶᡝᠮᠪᡳ,fancame seyembi,忿恨。,6,1019,1019a
ᡶᠠᠨᠴᠠᠮᡝ ᡤᡳᠩᡴᠠᠮᠪᡳ,fancame gingkambi,愤懑。,6,1019,1019b
ᡶᠠᠨᠴᠠᠮᡝ ᡥᠠᠯᡥᡡᠨ,fancame halh@n,酷热，闷热。,6,1019,1019a
ᡶᠠᠨᠴᠠᠮᡝ ᡴᠣᡵᠰᠣᠮᠪᡳ,fancame korsombi,愤恨。,6,1019,1019a
ᡶᠠᠨᠴᠠᠮᡝ ᡴᠣᡵᠰᠣᠮᡝ ᡤᡠᠰᡠᠴᡠᠮᠪᡳ,fancame korsome gusucumbi,怏怏无聊。,6,1019,1019a
ᡶᠠᠨᠴᠠᠴᡠᡴᠠ,fancacuka,〔形〕可气的，可恼的，可恨的： yala umesi fancacuka 殊甚可恼。,6,1019,1019b
ᡶᠠᠨᠴᠠᠴᡠᡴᠠ ᠵᡳᠯᡳ ᡩᠣᠯᠣ ᡳᡴᡨᠠᡴᠠ,fancacuka jili dolo iktaka,隐愤中结。,6,1019,1019b
ᡶᠠᠨᠴᠠᡥᠠ ᠵᡳᠯᡳ ᡨᡠᠩᡤᡝᠨ ᡳ ᡩᠣᠯᠣ ᠵᠠᠯᡠᡦᡳ,fancaha jili tunggen i dolo jalupi,愤填胸臆。,6,1019,1019a
ᡶᠠᠨᠴᠠᡥᠠᡳ ᠰᡠᠪᡠᠴᡳ ᠣᠵᠣᡵᠠᡴᡡ,fancahai subuci ojorak@,气愤莫遏。,6,1019,1019a
ᡶᠠᠨᠴᠠᡴᡡ,fancak@,〔形〕爱生气的。,6,1019,1019a
ᡶᠠᠨᠴᠠᡴᡡ ᠨᡳᠮᡝᡴᡠ,fancak@ nimeku,羊角风，癫痫病。,6,1019,1019a
ᡶᠠᠨᡩᡳ,fandi,〔名〕（篙上的）架木。,6,1019,1019a
ᡶᠠᠨᡯᡳ,fandzi,〔名〕番子。,6,1019,1019b
ᡶᠠᠨᡯᡳ ᠪᡝ ᡤᡳᠰᠠᠪᡠᡶᡳ ᠪᠠᡳᡨᠠ ᠸᠠᠵᡳᡥᠠ,fandzi be gisabufi baita wajiha,剿番事竣。,6,1019,1019b
ᡶᠠᠨᡯᡳ ᡳᡵᡤᡝᠨ ᠪᡝ ᠪᡳᠯᡠᠮᡝ ᡨᠣᡥᠣᡵᠣᠮᠪᡠᠮᠪᡳ,fandzi irgen be bilume tohorombumbi,抚辑番民。,6,1019,1019b
ᡶᠠᠨᡯᡳ ᡳ ᠠᡳᠮᠠᠨ,fandzi i aiman,= fan i niyalma,6,1019,1019b
ᡶᠠᠨᡯᡳ ᡳ ᡤᠠᡧᠠᠨ,fandzi i gaSan,番社。,6,1019,1019b
ᡶᠠᠨᡳᠶᠠᠨ,faniyan,〔名〕= fanihiyan。,6,1019,1019a
ᡶᠠᠨᡳᠶᠠᡥᡳᠶᠠᠨ,faniyahiyan,〔名〕= fanihiyan。,6,1019,1019a
ᡶᠠᠨᡳᡥᡳᠶᠠᠨ,fanihiyan,"〔名〕案板，切菜板，旧作 faniyan, faniyahiyan。",6,1019,1019a
