manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡤ᠋ᠠᠣᡯᡠᠩ,g'aodzung,〔名〕高宗。,6,940,940a
ᡤ᠋ᠠᠣᡯᡠᠩ ᠶᠣᠩᡴᡳᠶᠠᠩᡤᠠ ᡥᡡᠸᠠᠩᡩᡳ,g'aodzung yongkiyangga h@wangdi,高宗纯皇帝，名弘历，世宗第四子，康熙五十年（一七一一年）八月十三日子时生于雍和宫，毋孝圣宪皇后，二十五岁即帝位，在位六十年，年号乾隆，庙号高宗，谥号纯皇帝，嘉庆元年（一七九六年）初禅位于皇太子颙琰，自称太上皇帝，嘉庆四年（一七九九年）正月初三日死于养心殿，享年八十九岁，葬于清东陵之裕陵。,6,940,940a
ᡤ᠋ᠠᠨ,g'an,〔名〕钢。,6,940,940a
ᡤ᠋ᠠᠨ ᠪᡳᡵᠠᡳ ᡧᠠᠨ ᡤᠣᡴᡩᠠ ᡴᠠᡵᡠᠨ,g'an birai San gokda karun,〈地〉甘河商和哈达卡伦，索伦名，又作甘河善郭克达，甘河源出西北兴安岭，东北流入嫩江，卡伦在甘河旁商和哈达山处，隶墨尔根城副都统。,6,940,940a
ᡤ᠋ᠠᠨ ᡯᡝᠩ ᠴᡠᠸᠠᠨ,g'an dzeng cuwan,赶▲。,6,940,940b
ᡤ᠋ᠠᠨᠵᡠᡵ,g'anjur,〔名〕甘珠尔，大藏经的两个组成部分之一，意为佛语部。,6,940,940b
ᡤ᠋ᠠᠨᠵᡠᡵ ᠨᠣᠮᡠᠨ,g'anjur nomun,〈书〉甘珠尔经。,6,940,940b
ᡤ᠋ᠠᠨᡩᠠ ᡤᡠᡵᡠᠨ ᡳ ᡥᠠᠨ ᠨᠣᠮᡠᠨ,g'anda gurun i han nomun,〈书〉犍陀国王经。,6,940,940b
ᡤ᠋ᠠᠨ ᡳ ᠪᠠᡩᡝ ᡶᠠᡶᡠᠰᡥᡡᠯᠠᡥᠠ ᡶᡳᠶᡝᠯᡝᠨ,g'an i bade fafush@laha fiyelen,〈书〉甘誓，见《书经》。,6,940,940a
ᡤ᠋ᠠᠨ ᡳ ᠰᡳᡵᡝᠨ,g'an i siren,钢条，钢丝。,6,940,940a
ᡤ᠋ᠠᠩᡩᡳᡧᠠ,g'angdiSa,〔名〕〈地〉流沙。,6,940,940b
ᡤ᠋ᠠᠪᡳᡧᠠᡵᠠ,g'abiSara,〔名〕〈动〉迦频阇罗，在佛经上叫雉为迦频阇罗。,6,940,940b
ᡤ᠋ᠠᠮᡠᠯᡳᠶᠠᠩ,g'amuliyang,〔名〕〈动〉加默良，一种异兽名。,6,940,940b
ᡤ᠋ᠠᠯᠠᠪ,g'alab,〔名〕劫，劫难，宗教语。,6,940,940b
ᡤ᠋ᠠᠯᠠᠪ ᡨᠣᠨ,g'alab ton,劫数。,6,940,940b
ᡤ᠋ᠠᠯᠠᠪ ᡩᡝ ᡨᡠᡧᠠᡥᠠ,g'alab de tuSaha,遭劫。,6,940,940b
ᡤ᠋ᠠᠯᡩᠠᠨ,g'aldan,〔名〕噶尔丹。,6,940,940b
ᡤ᠋ᠠᠯᡩᠠᠨ ᠪᡝ ᠨᡝᠴᡳᡥᡳᠶᡝᠮᡝ ᡨᠣᡴᡨᠣᠪᡠᡥᠠ ᠪᠣᡩᠣᡤᠣᠨ ᡳ ᠪᡳᡨᡥᡝ,g'aldan be necihiyeme toktobuha bodogon i bithe,〈书〉平定朔漠方略。,6,940,940b
ᡤ᠋ᠠᠴᡳ,g'aci,〔量〕瞬息，即一 g'aci 等于十 jalari （弹指），十 g'aci 等于一 tanji （须臾）。,6,940,940c
ᡤ᠋ᠣ ᡥᡝ ᠯᠣᠯᠣ ᡥᡡᠯᡥᠠ,g'o he lolo h@lha,猓匪，见《清实录》。,6,976,976b
ᡤ᠋ᠣᠨᠠ ᡳᠯᡥᠠ,g'ona ilha,〈植〉枸那花。,6,976,976b
ᡤ᠋ᠣᠩᡤᡠᠨ,g'onggun,〔形〕（背式骨）直立的。,6,976,976b
ᡤ᠋ᠣᠮᡳ,g'omi,〔名〕〈地〉郭密。,6,976,976b
ᡤ᠋ᠣᡤᡳᠨ,g'ogin,〔名〕鳏： sakdafi sargan ak@ngge be g'ogin sembi 老而无妻曰鳏。,6,976,976b
ᡤ᠋ᠣᡤᡳᠨ ᠠᠩᡤᠠᠰᡳ ᠪᡝ ᡤᡳᡩᠠᡧᠠᡵᠠᡴᡡ,g'ogin anggasi be gidaSarak@,不侮鳏寡。,6,976,976c
ᡤ᠋ᠣᡤᡳᠨ ᠠᠩᡤᠠᠰᡳ ᠰᡝᠮᡝ ᡩᠠᠯᡳᠪᡠᡥᠠᡴᡡ,g'ogin anggasi seme dalibuhak@,鳏寡无盖。,6,976,976c
ᡤ᠋ᠣᡤᡳᠨ ᠠᠩᡤᠠᠰᡳ ᡝᠮᡥᡠᠨ ᡠᠮᡠᡩᡠ,g'ogin anggasi emhun umudu,鳏寡孤独。,6,976,976c
ᡤ᠋ᠣᡤᡳᠨ ᠠᠩᡤᠠᠰᡳ ᡩᡝ ᡶᡠᠯᡝᡥᡠᠨ ᡳ ᠰᡝᠯᠠᠪᡠᡥᠠ,g'ogin anggasi de fulehun i selabuha,惠鲜鳏寡。,6,976,976c
ᡤ᠋ᠣᡩᠠᡵᡤ᠋ᠠ,g'odarg'a,〔名〕〈动〉鸠匕咤，在佛经上叫鸡为g'odarg'a ， coko 别名之一。,6,976,976b
ᡤᠠᠣᠸᠠ ᡠᠮᡳᠶᠠᡥᠠ,gaowa umiyaha,〈动〉鱼腹虫。,6,295,295a
ᡤᠠᠨᠠᠪᡠᠮᠪᡳ,ganabumbi,〔及〕ganambi 的使动态。,6,295,295a
