manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡥᠠ,ha,〔名〕核网，即打鸽子、野鸡的小网子。〔象〕①哈，呵，即呵气声，哈冻声，又吃辣物后的哈出声。②雕鸟等拒人声。,6,325,325a
ᡥᠠᠣ ᠪᡳᡵᠠ,hao bira,〈地〉蒿河，又作和河，在黑龙江一带。,6,326,326c
ᡥᠠᠨ,han,〔名〕帝，汗，君，皇帝，帝王。,6,326,326c
ᡥᠠᠨ ᠠᠯᡳᠨ,han alin,〈地〉汗山。,6,326,326c
ᡥᠠᠨ ᠪᡝ ᠸᡝᠰᡳᡥᡠᠯᡝᠮᡝ ᡩᠠ ᠪᡝ ᡶᡠᠰᡳᡥᡡᡧᠠᠮᠪᡳ,han be wesihuleme da be fusih@Sambi,尊王黜霸。,6,327,327c
ᡥᠠᠨ ᠪᡝ ᡥᡡᠯᡳᠮᠪᡠᠮᡝ ᡩᠠᠰᠠᠨ ᠪᡝ ᡶᠠᠴᠠᠪᡠᠮᠪᡳ,han be h@limbume dasan be facabumbi,（ facuh@rabumbi ）惑君乱政。,6,327,327c
ᡥᠠᠨ ᠪᡝᠶᡝ ᡤᡝᠨᡝᡶᡳ ᡩᠣᡵᠣᠯᠣᠮᠪᡳ,han beye genefi dorolombi,上亲诣行礼。,6,327,327c
ᡥᠠᠨ ᠮᠠᡶᠠ,han mafa,皇祖。,6,327,327c
ᡥᠠᠨ ᡠᠰᡳᡥᠠ,han usiha,帝星，即北辰内第二星。,6,327,327c
ᡥᠠᠨᠠ,hana,〔名〕①木支架，即蒙古包毡壁的支架。②木墙，木板壁。,6,327,327c
ᡥᠠᠨᠴᠠ︕ ᡳᠯᡩᡠᠩᡤᠠ,hanca! ildungga,近便。,6,328,328a
ᡥᠠᠨᠴᡳ,hanci,〔形〕①近的，附近的，邻近的，靠近的。②短的。③亲近的。,6,328,328a
ᡥᠠᠨᠴᡳ ᠠᠮᠪᠠᠨ,hanci amban,亲臣，近臣。,6,328,328a
ᡥᠠᠨᠴᡳ ᠠᠯᡩᠠᠩᡤᠠ ᠪᠠᠯᠠᡳ ᡴᡡᡨᡥᡡᠮᠪᡳ,hanci aldangga balai k@th@mbi,亲疏混淆。,6,328,328a
ᡥᠠᠨᠴᡳ ᠠᡥᡡᠨ,hanci ah@n,堂兄。,6,328,328a
ᡥᠠᠨᠴᡳ ᠠᡩᠠᠮᡝ ᠪᡳᠰᡳᡵᡝ ᡤᡝᡵᡝᠨ ᡤᠣᠯᠣ,hanci adame bisire geren golo,附近各省。,6,328,328a
ᡥᠠᠨᠴᡳ ᠠᡩᠠᠮᡝ ᡨᡝᡥᡝ ᡳᡵᡤᡝᠨ,hanci adame tehe irgen,附近居民，邻居。,6,328,328a
ᡥᠠᠨᠴᡳ ᠠᡩᠠᡴᡳ ᡤᠣᠯᠣ,hanci adaki golo,附近省份，邻省。,6,328,328a
ᡥᠠᠨᠴᡳ ᠠᡴᡩᠠᡥᠠ ᠰᠠᡳᠨ ᠮᡠᡨᡝᡵᡝ ᠨᡳᠶᠠᠯᠮᠠ,hanci akdaha sain mutere niyalma,亲信妥人。,6,328,328a
ᡥᠠᠨᠴᡳ ᠣᠪᡠᠮᡝ ᡳᠪᡴᠠᠮᠪᡳ,hanci obume ibkambi,改近，缩短。,6,328,328a
ᡥᠠᠨᠴᡳ ᠨᡳᠶᠠᠮᠠᠨ,hanci niyaman,近亲。,6,328,328b
ᡥᠠᠨᠴᡳ ᠨᡳᠶᠠᠮᠠᠩᡤᠠ ᠨᡳᠶᠠᠮᠠᠨ,hanci niyamangga niyaman,懿亲。,6,328,328b
ᡥᠠᠨᠴᡳ ᠪᡝ ᡨᡠᠸᠠᠮᡝ,hanci be tuwame,就近。,6,328,328b
ᡥᠠᠨᠴᡳ ᠵᡠᡳ ᠵᠠᠯᠠᠩᡤᠠ ᠨᡳᠶᠠᠮᠠᠨ,hanci jui jalangga niyaman,嫡堂侄。,6,328,328b
ᡥᠠᠨᠴᡳ ᡠᡥᡠᠨ,hanci uhun,堂弟妇。,6,328,328b
ᡥᠠᠨᠴᡳ ᡩᠠᡥᠠᠯᠠᡵᠠ ᡠᡵᠰᡝ,hanci dahalara urse,侍从。,6,328,328b
ᡥᠠᠨᠴᡳ ᡶᡳᠮᡝᠪᡠᡵᠠᡴᡡ,hanci fimeburak@,不使人近前。,6,328,328b
ᡥᠠᠨᠴᡳᠩᡤᠠ,hancingga,〔形〕近的，接近的，亲近的。,6,328,328b
ᡥᠠᠨᠴᡳᠩᡤᠠ ᡧᡠᠩᡤᡳᠶᠠ,hancingga Sunggiya,〈书〉尔雅。,6,328,328b
ᡥᠠᠨᠴᡳᠩᡤᠠ ᡧᡠᠩᡤᡳᠶᠠ ᡳ ᠰᡠᡥᡝᠨ,hancingga Sunggiya i suhen,〈书〉尔雅疏。,6,328,328b
ᡥᠠᠨᠴᡳᠩᡤᠠ ᡧᡠᠩᡤᡳᠶᠠ ᡳ ᡤᡳᠰᡠᠨ ᡳ ᠰᡠᡥᡝᠨ,hancingga Sunggiya i gisun i suhen,〈书〉尔雅释话。,6,328,328b
ᡥᠠᠨᠴᡳᠩᡤᠠ ᡧᡠᠩᡤᡳᠶᠠ ᡳ ᡶᡳᠰᡝᠨ,hancingga Sunggiya i fisen,〈书〉尔雅翼。,6,328,328b
ᡥᠠᠨᠴᡳᡴᠠᠨ,hancikan,〔形〕近的，稍近的。,6,328,328b
ᡥᠠᠨᠴᡳᡴᠠᠨ ᠪᡝ ᡨᡠᠸᠠᠮᡝ,hancikan be tuwame,= hanci be tuwame。,6,328,328b
ᡥᠠᠨᠴᡳᡴᡳ,hanciki,〔形〕①近的，邻近的，附近的。②接近的，临近的，近期的。③亲近的。,6,328,328b
ᡥᠠᠨᠴᡳᡴᡳ ᠠᠮᠪᠠᠨ ᠵᠣᠮᠪᡠᡵᡝ ᠪᡝ ᠠᡴᡡᠮᠪᡠᠮᠪᡳ,hanciki amban jombure be ak@mbumbi,近臣尽规。,6,328,328b
ᡥᠠᠨᠴᡳᡴᡳ ᠠᡩᠠᡴᡳ,hanciki adaki,近邻。,6,328,328b
ᡥᠠᠨᠴᡳᡴᡳ ᠪᠠ ᡳ ᡠᠰᡳᠨ,hanciki ba i usin,三辅田畴，指近处的田地。,6,328,328c
ᡥᠠᠨᠴᡳᡴᡳ ᠪᡝ ᡝᠯᡥᡝ ᠣᠪᡠᠮᡝ ᡤᠣᡵᠣᡴᡳ ᠪᡝ ᠪᡳᠯᡠᠮᠪᡳ,hanciki be elhe obume goroki be bilumbi,宁近柔远。,6,328,328c
ᡥᠠᠨᠴᡳᡴᡳ ᠪᡝ ᡥᠠᡳᡵᠠᠨᡩᠠᡵᠠ ᡩᡠᡴᠠ,hanciki be hairandara duka,抚近门，在盛京。,6,328,328c
ᡥᠠᠨᠴᡳᡴᡳ ᠪᡳᡤᠠᠨ,hanciki bigan,近郊。,6,328,328c
ᡥᠠᠨᠴᡳᡴᡳ ᠴᡳ ᡤᠣᡵᠣᡴᡳ ᡩᡝ ᡳᠰᡳᡨᠠᠯᠠ,hanciki ci goroki de isitala,由近至远。,6,328,328c
ᡥᠠᠨᠴᡳᡴᡳ ᠵᡝᠴᡝᠨ ᡩᡝ ᡠᠩᡤᡳᡶᡳ ᠴᠣᠣᡥᠠ ᠣᠪᡠᠮᠪᡳ,hanciki jecen de unggifi cooha obumbi,充近边充军。,6,328,328c
ᡥᠠᠨᠴᡳᡴᡳ ᡤᠣᡵᠣᡴᡳᠩᡤᡝ ᡠᡥᡝᡳ ᡠᡵᡤᡠᠨᠵᡝᠮᠪᡳ,hanciki gorokingge uhei urgunjembi,遐迩同欢。,6,328,328b
ᡥᠠᠨᠵᠠ,hanja,〔名〕①廉，廉洁，清廉。②廉，封谥等处用语。〔形〕①纯正的，廉洁的，纯洁的，清廉的。②清洁的，洁净的。,6,328,328c
ᡥᠠᠨᠵᠠ ᠪᠣᠯᡤᠣ,hanja bolgo,廉洁，廉介。清廉。,6,329,329a
ᡥᠠᠨᠵᠠ ᠪᠣᠯᡤᠣ ᡳ ᠪᡝᠶᡝᠪᡝ ᡨᡠᠸᠠᡴᡳᠶᠠᠮᠪᡳ,hanja bolgo i beyebe tuwakiyambi,持躬廉洁，廉洁自持。,6,329,329a
ᡥᠠᠨᠵᠠ ᠪᠣᠯᡤᠣ ᡳ ᡨᡠᠸᠠᡴᡳᠶᠠᠨ,hanja bolgo i tuwakiyan,冰霜之操，又作 juhe gecen i gese tuwakiyan。,6,329,329a
ᡥᠠᠨᠵᠠ ᠪᡝ ᡨᡝᠮᡤᡝᡨᡠᠯᡝᠮᡝ ᡥᡳᠶᠣᠣᡧᡠᠨ ᠪᡝ ᠪᠠᡳᡨᠠᠯᠠᠮᠪᡳ,hanja be temgetuleme hiyooSun be baitalambi,封廉录孝。,6,329,329a
ᡥᠠᠨᠵᠠ ᠪᡝ ᡨᡠᠸᠠᡴᡳᠶᠠᠮᡝ ᡨᠣᠨᡩᠣ ᠪᡝ ᡨᡝᠪᡠᠮᠪᡳ,hanja be tuwakiyame tondo be tebumbi,持廉秉公。,6,329,329a
ᡥᠠᠨᠵᠠ ᠰᡳᠵᡳᡵᡥᡡᠨ,hanja sijirh@n,廉介。,6,329,329a
ᡥᠠᠨᠵᠠ ᠴᡳᠨ ᠸᠠᠩ,hanja cin wang,廉亲王。,6,329,329a
ᡥᠠᠨᠵᠠ ᡠᠵᡳᡵᡝ ᠮᠣᡵᡳᠨ,hanja ujire morin,养廉马。,6,328,328c
ᡥᠠᠨᠵᠠ ᡠᠵᡳᡵᡝ ᠮᡝᠩᡤᡠᠨ,hanja ujire menggun,养廉银。,6,328,328c
ᡥᠠᠨᠵᠠ ᡠᠵᡳᡵᡝ ᠮᡝᠩᡤᡠᠨ ᠪᡝ ᠨᡝᡳᡤᡝᠨᠵᡝᠮᡝ ᡨᡠᠴᡳᠪᡠᡶᡳ ᡥᠠᠴᡳᠨ ᡩᡝ ᡨᠣᠣᡩᠠᠪᡠᠮᠪᡳ,hanja ujire menggun be neigenjeme tucibufi hacin de toodabumbi,摊廉还款，摊派养廉银以还回所欠款项下。,6,328,328c
ᡥᠠᠨᠵᠠ ᡠᠵᡳᡵᡝ ᡤᠣᠴᡳᡴᠠ ᠴᠠᠯᡳᠶᠠᠨ,hanja ujire gocika caliyan,养廉名粮。,6,328,328c
ᡥᠠᠨᠵᠠ ᡤᠣᠴᡳᠰᡥᡡᠨ ᠪᠣᠯᡤᠣ ᡝᡴᡳᠰᠠᡴᠠ,hanja gocish@n bolgo ekisaka,廉退恬静。,6,328,328c
ᡥᠠᠨᠵᠠ ᡤᡝᡨᡠᡴᡝᠨ,hanja getuken,廉明。,6,329,329a
ᡥᠠᠨᠵᠠ ᡤᡳᠩᡤᡝ,hanja gingge,廉洁，清廉。,6,329,329a
ᡥᠠᠨᠵᠠ ᡤᡳᡵᡠᡨᡠ,hanja girutu,廉耻。,6,329,329a
ᡥᠠᠨᠵᠠ ᡤᡳᡵᡠᡨᡠ ᠠᡴᡡ,hanja girutu ak@,寡廉鲜耻。,6,329,329a
ᡥᠠᠨᠵᠠ ᡤᡳᡵᡠᡨᡠ ᠪᡝ ᠸᠠᠯᡳᠶᠠᠮᠪᡳ,hanja girutu be waliyambi,= hanja girutu ak@,6,329,329a
ᡥᠠᠨᠵᠠ ᡤᡳᡵᡠᡨᡠ ᠪᡝ ᠸᠠᠯᡳᠶᠠᡶᡳ ᡩᡝᡵᡝ ᠸᠠᠵᡳᠮᠪᡳ,hanja girutu be waliyafi dere wajimbi,丧尽廉耻。,6,329,329b
ᡥᠠᠨᠵᠠ ᡤᡳᡵᡠᡨᡠ ᠪᡝ ᡶᡠᡥᠠᠯᡳ ᠪᡠᡵᡠᠪᡠᠮᠪᡳ,hanja girutu be fuhali burubumbi,廉耻扫地。,6,329,329a
ᡥᠠᠨᠵᠠ ᡤᡳᡵᡠᡨᡠ ᠪᡠᡵᡠᠪᡠᠮᡝ ᠸᠠᠵᡳᡥᠠ,hanja girutu burubume wajiha,= hanja girutu be fuhali burubumbi,6,329,329b
ᡥᠠᠨᠵᠠ ᡤᡳᡵᡠᡨᡠ ᡳ ᡨᠠᠴᡳᠨ ᠰᡝᠯᡤᡳᠶᡝᠪᡠᠮᠪᡳ,hanja girutu i tacin selgiyebumbi,廉耻风行。,6,329,329a
ᡥᠠᠨᠵᠠ ᡥᠣᡧᠣᠩᡤᠣ ᠪᡝ ᡥᡡᠰᡠᡨᡠᠯᡝᠮᡝ ᠶᡝᠨᡩᡝᠪᡠᠮᠪᡳ,hanja hoSonggo be h@sutuleme yendebumbi,砥砺廉隅。,6,329,329a
ᡥᠠᠨᠵᠠ ᡥᠣᡧᠣᠩᡤᠣ ᡳ ᠪᡝᠶᡝᠪᡝ ᡠᠵᡝᠯᡝᠮᠪᡳ,hanja hoSonggo i beyebe ujelembi,廉隅自重。,6,329,329a
ᡥᠠᠨᠵᠠ ᡥᡳᠴᠠᠨ ᠪᡠᠶᡝᠨ ᡴᠣᠮᠰᠣ,hanja hican buyen komso,廉净寡欲。,6,329,329b
ᡥᠠᠨᠵᠠᠮᠪᡳ,hanjambi,〔不及〕馋，垂涎欲吃。,6,329,329b
ᡥᠠᠨᠵᠠᡩᠠᠮᠪᡳ,hanjadambi,〔不及〕行廉，清廉，廉洁。,6,329,329b
ᡥᠠᠨᡩᠠ,handa,〔名〕痘毒，即天花溃脓留下的疤痕、麻子。,6,327,327c
ᡥᠠᠨᡩᠠᡴᠠᡳᡨᡠ ᡴᠠᡵᡠᠨ,handakaitu karun,〈地〉汗达垓图卡伦，又作汗达盖图、汗达格图，西南至博罗依齐噶图七十里，卡伦东临托尔和里克河，南流入乌布萨泊，隶科布多参赞大臣。,6,327,327c
ᡥᠠᠨᡩᡠ,handu,〔名〕①稻。②曲，酵母，酱曲。,6,327,327c
ᡥᠠᠨᡩᡠ ᠪᠣᡳᡥᠣᠨ,handu boihon,黄胶泥。,6,328,328a
ᡥᠠᠨᡩᡠ ᠪᡝᠯᡝ,handu bele,稻米。,6,328,328a
ᡥᠠᠨᡩᡠ ᠴᡳᠰᡝ,handu cise,= handu iri,6,328,328a
ᡥᠠᠨᡩᡠ ᡠᠮᡳᠶᠠᡥᠠ,handu umiyaha,〈动〉江米虫。,6,328,328a
ᡥᠠᠨᡩᡠ ᡨᠠᡵᡳᡵᡝ ᡴᡡᠸᠠᡵᠠᠨ,handu tarire k@waran,稻田厂，即奉宸院总理收种稻田等事处。,6,328,328a
ᡥᠠᠨᡩᡠ ᡳᡵᡳ,handu iri,稻畦，又作 handu cise。,6,327,327c
ᡥᠠᠨᡩᡠᠴᡠᠨ,handucun,〔名〕秧歌。,6,328,328a
ᡥᠠᠨᡩᡠᡨᡠᠨ,handutun,〔名〕簋，即盛米器，内圆外方。,6,328,328a
ᡥᠠᠨ ᡳ ᠠᠪᡴᠠ ᡩᡝ ᠵᠠᡶᠠᡵᠠ ᠪᠣᠣᠪᠠᡳ,han i abka de jafara boobai,皇帝奉天之宝，系碧玉制，方四寸四分，厚一寸一分，盘龙纽高三寸五分。,6,326,326c
ᡥᠠᠨ ᡳ ᠠᠪᡴᠠ ᡩᡝ ᠸᡝᠰᡳᡴᡝ,han i abka de wesike,皇考升遐。,6,326,326c
ᡥᠠᠨ ᡳ ᠠᠮᠠ,han i ama,皇考。,6,326,326c
ᡥᠠᠨ ᡳ ᠠᠮᡥᠠ,han i amha,皇丈。,6,326,326c
ᡥᠠᠨ ᡳ ᠠᡴᡩᡠᠨ ᠪᠣᠣᠪᠠᡳ,han i akdun boobai,皇帝信宝，系白玉制，方三寸三分，厚五分，交龙纽高一寸六分。,6,326,326c
ᡥᠠᠨ ᡳ ᠠᡵᠠᡥᠠ ᠠᠯᡳᠨ ᡳ ᡨᠣᡴᠰᠣ ᡩᡝ ᡥᠠᠯᡥᡡᠨ ᠪᡝ ᠵᠠᡳᠯᠠᡥᠠ ᡧᡳ,han i araha alin i tokso de halh@n be jailaha Si,〈书〉御制避暑山庄诗。,6,326,326c
