manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡳ,i,〔代〕他，她。,6,132,132a
ᡳ ᠴᡳ,i ci,懊悔口气。,6,132,132a
ᡳ ᠵᡝᠩ ᠮᡠᡴᡡᠨ ᡳ ᠵᠠᡥᡡᡩᠠᡳ,i jeng muk@n i jah@dai,仪征帮，仪征地方的运粮船队。,6,132,132a
ᡳ ᡳ,i i,①哭声。②耻笑声。,6,132,132a
ᡳᠣ ᠰᠶ ᡥᠠᡶᠠᠨ,io sy hafan,有司，清代京内外司道以下有一定职权的官员。,6,132,132a
ᡳᠣ ᠶᠠᠩ ᠪᠠ ᡳ ᡥᠠᠴᡳᠩᡤᠠ ᡝᠵᡝᡨᡠᠨ,io yang ba i hacingga ejetun,<书>酉阳杂俎。,6,132,132a
ᡳᠣ ᡨᡳᠶᡝᡳ ᠰᡝᡵᡝ ᠪᡳᡨᡥᡝ,io tiyei sere bithe,由贴，清代文书名称之一。,6,132,132a
ᡳᠣᠯᡝᠮᠪᡳ,iolembi,〔及〕上油漆。,6,132,132b
ᡳᠣᠯᡝᡵᡝ ᡶᠠᡴᠰᡳ,iolere faksi,油漆匠。,6,132,132b
ᡳᠣᠵᠠᠨ,iojan,〔名〕油匠。,6,132,132b
ᡳᠣᡩᠠᠨ,iodan,〔名〕油单。,6,132,132b
ᡳᠣᡳ ᡥᠠᠨ ᡳ ᠠᡩᠠᠯᡳ ᡤᠣᠰᡳᠨ ᠠᡴᡡᠨᠠᡥᠠ,ioi han i adali gosin ak@naha,禹甸仁周。,6,132,132a
ᡳᠣᡳᠮᡨᡠᠨ,ioimtun,〔名〕梡，即虞俎名。,6,132,132a
ᡳᠣᡳᡧᡠ,ioiSu,〔名〕<地>玉树，又作玉舒。,6,132,132a
ᡳᠣᡳ ᡳ ᠠᠯᠪᠠᠪᡠᠨ ᡳ ᡶᡳᠶᡝᠯᡝᠨ,ioi i albabun i fiyelen,禹贡，即《书经》篇名。,6,132,132a
ᡳᠨ,in,〔名〕阴。,6,132,132b
ᡳᠨᠠ,ina,〔名〕外甥。,6,132,132b
ᡳᠨᠴᠠᠮᠪᡳ,incambi,"〔不及〕马嘶： sain orhoi bade aisin hadala etubuhe morin incambi, guilehe ilha ilaha erinde gu i leose de niyalma soktombi 金辔马嘶芳草地，玉楼人醉杏花天。",6,136,136b
ᡳᠨᠴᡳ,inci,〔代〕比他(她)。,6,136,136b
ᡳᠨᠵᠠᡥᠠ,injaha,〔名〕<动>黄羊羔。,6,136,136b
ᡳᠨᠵᡝᠮᠪᡳ,injembi,〔不及〕笑。,6,136,136b
ᡳᠨᠵᡝᠮᡝ ᠪᠠᡵᡤᡳᠶᠠᠮᠪᡳ,injeme bargiyambi,哂收，哂纳，笑纳。,6,136,136b
ᡳᠨᠵᡝᠮᡝ ᠯᡝᠣᠯᡝᠮᠪᡳ,injeme leolembi,谈笑。,6,136,136b
ᡳᠨᠵᡝᠮᡝ ᡳᠨᠵᡝᡴᡠᡧᡝᠮᠪᡳ,injeme injekuSembi,嘻笑。,6,136,136b
ᡳᠨᠵᡝᠮᡝᠯᡳᠶᠠᠨ,injemeliyan,〔副动〕微笑，笑盈盈，笑容可掬的： injemeliyan gisurerak@ 笑而不言。,6,136,136b
ᡳᠨᠵᡝᠴᡠᡴᡝ,injecuke,〔形〕可笑的。,6,136,136c
ᡳᠨᠵᡝᡴᡠ,injeku,〔名〕①笑： injeku gisun 笑语； injeku cira 笑容。②笑柄。③玩笑。〔形〕可笑的，有趣的。,6,136,136c
ᡳᠨᠵᡝᡴᡠᡧᡝᠮᠪᡳ,injekuSembi,〔及〕耻笑。,6,136,136c
ᡳᠨᠵᡝᡵᡝ ᠪᡝ ᡤᡡᠸᠠᠯᡳᠶᠠᡶᡳ ᠵᡳᠯᡳ ᠪᠠᠨᠵᡳᠮᠪᡳ,injere be g@waliyafi jili banjimbi,转笑生嗔。,6,136,136b
ᡳᠨᠵᡝᡵᡝ ᠴᡳᡵᠠ ᠪᡝ ᡤᠠᡳᡨᠠᡳ ᠪᠠᡵᡤᡳᠶᠠᠮᠪᡳ,injere cira be gaitai bargiyambi,笑容怱敛。,6,136,136c
ᡳᠨᠵᡝᡵᡝ ᡝᡶᡳᡵᡝᠩᡤᡝ ᠵᡠᡵᡤᠠᠨ ᠠᡴᡡ,injere efirengge jurgan ak@,笑乐无节。,6,136,136b
ᡳᠨᠵᡳᡵᡳ,injiri,〔名〕①帽沿。②眼罩。③面纱。,6,136,136c
ᡳᠨᡝ ᠮᡝᠨᡝ,ine mene,干随，索性。,6,132,132b
ᡳᠨᡝᠩᡤᡳ,inenggi,〔名〕①日，天，日子。②白天，白日，白昼。③<动>鮹[!](鱼)。,6,132,132b
