manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᠵᠠ,ja,〔形〕①便宜的，廉价的，低廉的。②容易的，简单的，简易的。,6,829,829a
ᠵᠠ ᠠᡴᡡ,ja ak@,①不容易。②不贱，不便宜。③了不得。,6,829,829a
ᠵᠠ ᠪᡝ ᠪᠣᡩᠣᠮᠪᡳ,ja be bodombi,从简。,6,829,829a
ᠵᠠ ᠵᠠ,ja ja,①喳喳，即飞禽之鸣叫声。②吆喝声。,6,829,829a
ᠵᠠ ᠵᡳ,ja ji,众人嚷闹声。,6,829,829a
ᠵᠠ ᡥᡡᡩᠠ ᡩᡝ ᡠᡩᠠᠮᡝ ᡤᠠᡳᠮᠪᡳ,ja h@da de udame gaimbi,低价买物。,6,829,829a
ᠵᠠ ᡥᡡᡩᠠᡳ ᡠᡩᠠᡶᡳ ᠮᠠᠩᡤᠠ ᡥᡡᡩᠠᡳ ᡠᠨᠴᠠᠮᠪᡳ,ja h@dai udafi mangga h@dai uncambi,贬贱鬻贵。,6,829,829a
ᠵᠠᠨ,jan,〔名〕①哨箭。②占，清初部落名。,6,830,830b
ᠵᠠᠨ ᠪᡳᡵᠠ,jan bira,〈地〉瞻河，索伦名，在黑龙江一带。,6,830,830b
ᠵᠠᠨᠴᡠᡥᡡᠨ,jancuh@n,〔形〕①味美的，甘甜的，甘美的，香甜的。②甜，甘。,6,830,830b
ᠵᠠᠨᠴᡠᡥᡡᠨ ᠨᡠᡵᡝ,jancuh@n nure,甜酒。,6,830,830b
ᠵᠠᠨᠴᡠᡥᡡᠨ ᠪᡝ ᠪᡠᠶᡝᠴᡳ ᠨᡝᠨᡝᠮᡝ ᡤᠣᠰᡳᡥᠣᠨ ᠪᡝ ᠪᠠᡳᠮᠪᡳ,jancuh@n be buyeci neneme gosihon be baimbi,要吃甜的，先尝苦的。,6,830,830b
ᠵᠠᠨᠴᡠᡥᡡᠨ ᠮᡠᡵᠰᠠ,jancuh@n mursa,〈植〉胡萝卜。,6,830,830b
ᠵᠠᠨᠴᡠᡥᡡᠨ ᠰᡳᠯᡝᠩᡤᡳ,jancuh@n silenggi,甘露。,6,830,830b
ᠵᠠᠨᠴᡠᡥᡡᠨ ᠰᡳᠯᡝᠩᡤᡳ ᠸᠠᠰᡳᡴᠠ ᠯᡳᠩ ᡷᠶ ᠣᡵᡥᠣ ᠪᠠᠨᠵᡳᡥᠠ,jancuh@n silenggi wasika ling jy orho banjiha,甘露降灵芝生。,6,830,830b
ᠵᠠᠨᠴᡠᡥᡡᠨ ᠰᡳᠯᡝᠩᡤᡳ ᡤ᠋ᠣᠨᠵᠠᠯᡳ ᡶᡠᠰᠠ ᡳ ᡴᠣᠣᠯᡳ ᡩᡠᡵᡠᠨ,jancuh@n silenggi g'onjali fusa i kooli durun,〈书〉甘露军茶利菩萨仪轨。,6,830,830b
