manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡴ᠋ᠠᠩ ᠰᡝᡵᡝ ᠰᡠᠰᠠᡳᠴᡳ ᡨᡝᠮᡤᡝᡨᡠ ᡥᡝᡵᡤᡝᠨ ᡳ ᡩᠣᡵᠣᠨ,k'ang sere susaici temgetu hergen i doron,康字五十号印信。,6,918,918a
ᡴ᠋ᠠᠩ ᠸᠠᠩ ᡥᠠᠨ ᡳ ᡠᠯᡥᡳᠪᡠᠨ ᡶᡳᠶᡝᠯᡝᠨ,k'ang wang han i ulhibun fiyelen,康王之诰，见《书经》。,6,918,918a
ᡴ᠋ᠠᠩ ᡧᡠ ᡩᡝ ᡠᠯᡥᡳᠪᡠᡥᡝ ᡶᡳᠶᡝᠯᡝᠨ,k'ang Su de ulhibuhe fiyelen,康诰，见《书经》。,6,918,918a
ᡴ᠋ᠠᠮᡩᡠᡵᡳ,k'amduri,〔名〕亢，亢金龙，二十八宿之一，东方苍龙七宿的第二宿。,6,918,918a
ᡴ᠋ᠠᠮᡩᡠᡵᡳ ᡨᠣᡴᡩᠣᠩᡤᠣ ᡴᡳᡵᡠ,k'amduri tokdonggo kiru,亢宿旗，幅上绣有亢宿像的旗。,6,918,918a
ᡴ᠋ᠠᡩᠠᠣ ᠠᠨᠠᡴ᠋ᠠᠮᠠ ᡳ ᠨᠣᠮᡠᠨ,k'adao anak'ama i nomun,〈书〉呵雕阿那含经。,6,918,918a
ᡴ᠋ᠠᡳ,k'ai,〈地〉恺河，蒙古名，在黑龙江一带。,6,918,918a
ᡴ᠋ᠣ,k'o,〔名〕科，六科之科： hafan jurgan i k'o yamun 吏科； coohai jurgan i k'o yamun ci doolame arafi tucibuhe 兵科抄出； weilere jurgan i k'o yamun i gisurere hafan 工科给事中。,6,932,932b
ᡴ᠋ᠣ ᠶᠠᠮᡠᠨ ᠴᡳ ᡩᠣᠣᠯᠠᠮᡝ ᠠᡵᠠᡶᡳ ᡨᡠᠴᡳᠪᡠᡥᡝ ᠪᡳᡨᡥᡝ,k'o yamun ci doolame arafi tucibuhe bithe,科抄，凡京外官员题本奏章，经内阁票拟，送呈御览，批本处批红后，由内阁发六科抄出执行，谓为科抄。,6,932,932b
ᡴ᠋ᠣᡵᡴ᠋ᠠ,k'ork'a,〔名〕廓尔喀，今尼泊尔。,6,932,932b
ᡴᠠᠨᠠᡤᠠᠨ,kanagan,〔名〕口实，借口。,6,270,270c
ᡴᠠᠨᠠᡤᠠᠨ ᠠᡵᠠᠮᠪᡳ,kanagan arambi,借故，托辞，托故，托推。,6,270,270c
ᡴᠠᠨᠠᡤᠠᠨ ᠠᡵᠠᠮᡝ ᠠᠯᡤᡳᡧᠠᠮᡝ ᠶᠠᠪᡠᠮᠪᡳ,kanagan arame algiSame yabumbi,招摇撞骗。,6,270,270c
ᡴᠠᠨᠠᡤᠠᠨ ᠠᡵᠠᠮᡝ ᠠᠯᡤᡳᡧᠠᠮᡝ ᡤᡳᠰᡠᡵᡝᠮᠪᡳ,kanagan arame algiSame gisurembi,借端夺耀。,6,270,270c
ᡴᠠᠨᠠᡤᠠᠨ ᠠᡵᠠᠮᡝ ᠨᡳᠮᡝᡴᡠᠯᡝᠮᠪᡳ,kanagan arame nimekulembi,托词患病。,6,271,271a
ᡴᠠᠨᠠᡤᠠᠨ ᠠᡵᠠᠮᡝ ᠪᠠᡳᡨᠠ ᡩᡝᡴᡩᡝᠪᡠᠮᠪᡳ,kanagan arame baita dekdebumbi,借端生事。,6,271,271a
ᡴᠠᠨᠠᡤᠠᠨ ᠠᡵᠠᠮᡝ ᠪᡠᠯᠴᠠᠮᠪᡳ,kanagan arame bulcambi,借故躲懒。,6,271,271a
ᡴᠠᠨᠠᡤᠠᠨ ᠠᡵᠠᠮᡝ ᠰᡳᠯᡨᠠᠮᡝ ᠠᠨᠠᡨᠠᠮᠪᡳ,kanagan arame siltame anatambi,借端诿御。,6,271,271a
ᡴᠠᠨᠠᡤᠠᠨ ᠠᡵᠠᠮᡝ ᠵᡳᡩᡝᡵᠠᡴᡡ(ᡤᡝᠨᡝᡵᠠᡴᡡ),kanagan arame jiderak@(generak@),托故不到。,6,271,271a
ᡴᠠᠨᠠᡤᠠᠨ ᠠᡵᠠᠮᡝ ᡤᡝᠵᡠᡵᡝᠮᡝ ᡤᠠᡳᠮᠪᡳ,kanagan arame gejureme gaimbi,借词勒索。,6,271,271a
ᡴᠠᠨᠵᠠᠮᠪᡳ,kanjambi,〔及〕打背式骨玩。,6,271,271b
ᡴᠠᠨᠵᡳᡥᠠ ᠨᡳᠣᠩᠨᡳᠶᠠᡥᠠ,kanjiha niongniyaha,<动>宾鸿。,6,271,271b
ᡴᠠᠨᠵᡳᡥᠠ ᡳᡥᠠᠨ,kanjiha ihan,<动>白鼻梁牛。,6,271,271b
ᡴᠠᠨᠵᡳᡩᡠ,kanjidu,〔名〕<动>鸿豹，飞禽名，即 humudu 别名，= yardu。,6,271,271b
ᡴᠠᠨᡝ ᠪᡳᡵᠠ,kane bira,<地>喀纳河，索伦名，在黑龙江一带。,6,271,271a
ᡴᠠᠨᡩᠠ,kanda,〔名〕（牛脖下的）软皮。,6,271,271a
ᡴᠠᠨᡩᠠᡥᠠᠨ,kandahan,〔名〕<动>堪达汗，驼鹿，又作罕达犴。,6,271,271a
ᡴᠠᠨᡩᠠᡥᠠᠨ ᡨᠣᡥᠣᠮᠠ,kandahan tohoma,鹿腿。,6,271,271a
ᡴᠠᠨᡩᠠᡨᡠ,kandatu,〔名〕<动>领胡，异兽名。,6,271,271a
ᡴᠠᠨᡩᠠᡵᡥᠠᠨ,kandarhan,〔名〕缇胸，即马胸前挂的红缨穗。,6,271,271a
ᡴᠠᠨᡳ,kani,〔名〕随合，合得来。,6,271,271a
ᡴᠠᠨᡳ ᠠᡴᡡ,kani ak@,不随合。,6,271,271a
ᡴᠠᠨᡳᠨ,kanin,〔名〕<植>海带。,6,271,271a
