manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᠯᠠᠨ ᠨᡳ ᠴᡳᠶᠠᠨ,lan ni ciyan,〈地〉烂泥浅，位于江苏省淮河、黄河、洪泽湖之间，是淤泥积累而成的成片滩地。,6,719,719b
ᠯᠠᠨ ᠮᠠ ᡥᠣ ᠪᡳᡵᠠ,lan ma ho bira,〈地〉拦马河，位于江苏省境内。,6,719,719b
ᠯᠠᠨ ᡤᠠᡳᠮᠪᡳ,lan gaimbi,讨牢，讨凭据，又作 ten gaime gisurembi。,6,719,719b
ᠯᠠᠨ ᡥᠣ ᠪᠠ ᡩᠠᠯᠠᠨ,lan ho ba dalan,拦河坝，此坝有土坝、石坝、木坝、草坝。,6,719,719b
ᠯᠠᠩ ᠯᠠᠩ ᠰᡝᠮᡝ,lang lang seme,（吃食物时）吧嗒吧嗒地。,6,719,719c
ᠯᠠᠩᠯᠠᡳ,langlai,〔名〕〈动〉蜣螂，俗称屎壳郎。,6,720,720a
ᠯᠠᠩᠰᡝ,langse,〔形〕脏，垢，污浊的，污垢的，泥垢的，污秽的，邋遢的。〔名〕亵，淫秽。,6,719,719c
ᠯᠠᠩᠰᡝ ᠨᠠᠨᡨᡠᡥᡡᠨ,langse nantuh@n,污秽。,6,719,719c
ᠯᠠᠩᠰᡝ ᠮᠣᠣ,langse moo,车前后稍牚。,6,719,719c
ᠯᠠᠩᠰᡝ ᡤᡳᠰᡠᠨ,langse gisun,淫辞，亵语。,6,719,719c
ᠯᠠᠩᠰᡝ ᡤᡳᠰᡠᠨ ᡳ ᠪᡝᠵᡳᠯᡝᠮᡝ ᠨᠠᠩᡤᡳᡧᠠᠮᠪᡳ,langse gisun i bejileme nanggiSambi,妖言隐谜。,6,719,719c
ᠯᠠᠩᠰᡝᡩᠠᠮᠪᡳ,langsedambi,〔及、不及〕①弄脏、弄龌龊，沾染。②邋遢。③说脏话，说亵语。④亵，猥亵。,6,719,719c
ᠯᠠᠩᠴᠠ,langca,〔名〕碧▲▲，紫色宝石名。,6,720,720a
