manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᠮᠠ,ma,〔感〕给（对方）。,6,735,735a
ᠮᠠ ᠶᠠ ᡥᡡᠸᠠᡴᡧᠠᡥᠠ,ma ya h@wakSaha,马牙桩。,6,735,735a
ᠮᠠᠣᡴᠠᠯᠠ,maokala,〔名〕〈动〉倒歃雕。,6,736,736a
ᠮᠠᠨᠠᠪᡠᠮᠪᡳ,manabumbi,〔及、不及〕① manambi 的使动、被动态。②消耗，缩小，缩短。③蛀食。④衰落，衰败。⑤毁坏，系旧清语， susubumbi 之意： jeku be tuwa sindame manabumbi 焚毁田谷。,6,736,736a
ᠮᠠᠨᠠᠪᡠᠮᡝ ᠪᡠᡵᡠᠪᡠᠮᠪᡳ,manabume burubumbi,消磨。,6,736,736a
ᠮᠠᠨᠠᠪᡠᠮᡝ ᠵᡝᠮᠪᡳ,manabume jembi,吞食。,6,736,736a
ᠮᠠᠨᠠᠮᠪᡳ,manambi,〔不及〕①损耗，磨损，磨坏，磨破，破旧，破烂，破损。②用旧，用破，变褴褛。③减少，缩小，缩短，亏损，损耗，消耗。④破败，破残。⑤风化，退化。,6,736,736a
ᠮᠠᠨᠠᠰ,manas,〔名〕〈地〉玛纳斯，蒙古语，巡逻之义，又名 dahanjiha be tohorombure karman。,6,736,736a
ᠮᠠᠨᠠᠰᡥᡡᠨ,manash@n,〔形〕①磨损的，磨坏的，破烂的，残破的。②褴褛的。③减少的，缩小的，缩短的，亏损的。④（月）将终： biyai manash@n 月终。,6,736,736a
ᠮᠠᠨᠠᠰᡥᡡᠨ ᠪᠣᠵᡳᡵᡳ,manash@n bojiri,残菊。,6,736,736a
ᠮᠠᠨᠠᡤᠠᠨ,managan,〔名〕襁褓。,6,736,736a
ᠮᠠᠨᠠᡥᠠ ᠪᡳᠶᠠ,manaha biya,上月，= duleke biya。,6,736,736b
ᠮᠠᠨᠠᡥᠠ ᠮᠠᡥᠠᠯᠠ ᡴᡠᠪᡠᠨ ᡳ ᡝᡨᡠᡴᡠ,manaha mahala kubun i etuku,破巾絮衣。,6,736,736b
ᠮᠠᠨᠠᡥᠠ ᠰᠠᠪᡠ,manaha sabu,敝▲，敝踄。,6,736,736b
ᠮᠠᠨᠠᡥᠠ ᠰᡝᠵᡝᠨ ᡨᡠᡵᡤᠠ ᠮᠣᡵᡳᠨ,manaha sejen turga morin,敝车羸马。,6,736,736b
ᠮᠠᠨᠠᡥᠠ ᠵᠠᠮᡦᠠᠨ,manaha jampan,敝帷。,6,736,736b
ᠮᠠᠨᠠᡥᠠ ᡧᠠᠨᡳᠶᠠᡥᠠ,manaha Saniyaha,破破烂烂的，褴褛。,6,736,736b
ᠮᠠᠨᠰᡠᡳ,mansui,〔名〕满地风云缎，一种花蟒缎名。,6,736,736b
ᠮᠠᠨᠰᡠᡳ ᡠᠨᡩᡠᡵᠠᡴᡡ,mansui undurak@,满地风云龙缎。,6,736,736c
ᠮᠠᠨᠵᠠ ᡶᡠᡳᡶᡠᠮᠪᡳ,manja fuifumbi,熬茶。,6,737,737a
ᠮᠠᠨᠵᡠ,manju,〔名〕①满族。②满洲。,6,737,737a
ᠮᠠᠨᠵᡠ ᠨᡳᡴᠠᠨ ᠠᡶᠠᡥᠠᡵᡳ ᡩᠠᡥᠠᠪᡠᡵᡝ ᠪᠠ,manju nikan afahari dahabure ba,〈衙〉满汉票签处，隶内阁，凡将应进之通本、部本详细校阅，由大学学士拟定票签，中书缮清文、汉文正签，随本进呈。,6,737,737a
ᠮᠠᠨᠵᡠ ᠨᡳᡴᠠᠨ ᠰᡝᠮᡝ ᡶᠠᡴᠰᠠᠯᠠᠴᡳ ᠣᠵᠣᡵᠠᡴᡡ,manju nikan seme faksalaci ojorak@,不分满汉，无分畛域。,6,737,737a
ᠮᠠᠨᠵᡠ ᠨᡳᡴᠠᠨ ᡥᡝᡵᡤᡝᠨ ᡩᡠᠸᠠᠯᡳ ᡳᠯᡤᠠᡥᠠ ᠪᡳᡨᡥᡝ,manju nikan hergen duwali ilgaha bithe,〈书〉满汉类书全集，清桑额编，三十二卷，康熙四十年（一七〇一年）刻本。,6,737,737a
ᠮᠠᠨᠵᡠ ᠨᡳᡴᠠᠨ ᡥᡝᡵᡤᡝᠨ ᡳ ᡤᡝᠪᡠ ᠴᡝᠰᡝ,manju nikan hergen i gebu cese,清汉名册。,6,737,737a
ᠮᠠᠨᠵᡠ ᠨᡳᡴᠠᠨ ᡧᡠ ᠠᡩᠠᠯᡳ ᠶᠣᠣᠨᡳ ᠪᡳᡨᡥᡝ,manju nikan Su adali yooni bithe,〈书〉满汉同文全书，系按音序排列满汉辞书，共八卷，康熙二十九年（一六九〇年）秘书院刻本。,6,737,737a
ᠮᠠᠨᠵᡠ ᠨᡳᡴᠠᠨ ᡳ ᡶᡝ ᡤᡳᠰᡠᠨ ᠪᡝ ᠵᠣᡶᠣᡥᠣ ᠠᠴᠠᠪᡠᡥᠠ ᠪᡳᡨᡥᡝ,manju nikan i fe gisun be jofoho acabuha bithe,〈书〉满汉成语对待。,6,737,737a
ᠮᠠᠨᠵᡠ ᠪᡳᡨᡥᡝ ᠪᡝ ᡠᡥᡝᡵᡳ ᠠᠴᠠᠪᡠᠮᡝ ᡨᡠᠸᠠᡵᠠ ᡥᠠᡶᠠᠨ,manju bithe be uheri acabume tuwara hafan,〈官〉清文总校官。,6,737,737b
ᠮᠠᠨᠵᡠ ᠪᡳᡨᡥᡝᡳ ᡴᠣᠣᠯᡳ ᡧᠣᡧᠣᡥᠣᠨ ᡳ ᠪᡳᡨᡥᡝ,manju bithei kooli SoSohon i bithe,〈书〉清文典要大全，共四卷，乾隆三年（一七三八年）秋芳堂刻本。,6,737,737b
ᠮᠠᠨᠵᡠ ᠮᠣᠩᡤᠣ ᠨᡳᡴᠠᠨ ᡳᠯᠠᠨ ᠠᠴᠠᠩᡤᠠ ᡧᡠ ᡳ ᡨᠠᠴᡳᠪᡠᡵᡝ ᡥᠠᠴᡳᠨ ᡳ ᠪᡳᡨᡥᡝ,manju monggo nikan ilan acangga Su i tacibure hacin i bithe,〈书〉满蒙汉合璧教科书，蒋维乔、庄俞原编，荣德等译，宣统元年（一九〇九年）刻本。,6,737,737b
ᠮᠠᠨᠵᡠ ᠮᠣᠩᡤᠣ ᠨᡳᡴᠠᠨ ᡳᠯᠠᠨ ᡥᠠᠴᡳᠨ ᡳ ᡤᡳᠰᡠᠨ,manju monggo nikan ilan hacin i gisun,〈书〉满蒙汉字书，雍正十三年（一七三五年）舒明阿序，抄本。,6,737,737b
ᠮᠠᠨᠵᡠ ᠮᠣᠩᡤᠣ ᠪᡳᡨᡥᡝ ᡠᠪᠠᠯᡳᠶᠠᠮᠪᡠᡵᡝ ᠪᠣᠣ,manju monggo bithe ubaliyambure boo,〈衙〉满洲蒙古翻译房，隶理藩院。,6,737,737b
ᠮᠠᠨᠵᡠ ᠮᠣᠩᡤᠣ ᡨᠠᠩᡤᡠᡨ ᠵᠠᡵᡠᠩ ᡥᠣᡳᠰᡝ ᠰᡠᡳᠨ︕ ᡥᠠᠴᡳᠨ ᡳ ᡤᡳᠰᡠᠨ,manju monggo tanggut jarung hoise suin! hacin i gisun,〈书〉五体字书，乾隆年间写本。,6,737,737b
ᠮᠠᠨᠵᡠ ᠸᡝᠰᡳᠮᠪᡠᡵᡝ ᠪᡳᡨᡥᡝᡳ ᠪᠠ,manju wesimbure bithei ba,〈衙〉满本堂，隶内阁，凡将通本由汉本房翻清后交满本房缮写。,6,738,738b
ᠮᠠᠨᠵᡠ ᡤᡡᠰᠠ,manju g@sa,满洲都统，指满洲八旗。,6,737,737a
ᠮᠠᠨᠵᡠ ᡤᡡᠰᠠ ᠪᡝ ᡴᠠᡩᠠᠯᠠᡵᠠ ᠠᠮᠪᠠᠨ,manju g@sa be kadalara amban,〈官〉满洲都统。,6,737,737a
ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ,manju gisun,满语。,6,737,737c
ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ ᠪᡝ ᠨᡳᠶᡝᠴᡝᠮᡝ ᡳᠰᠠᠪᡠᡥᠠ ᠪᡳᡨᡥᡝ,manju gisun be niyeceme isabuha bithe,〈书〉清文补汇，宜兴撰，八卷，乾隆五十一年（一七八六年）刻本。,6,738,738a
ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ ᠪᡝ ᡳᠰᠠᠪᡠᡥᠠ ᠪᡳᡨᡥᡝ,manju gisun be isabuha bithe,〈书〉清文汇书，李延基编，十二卷，康熙年间京都四合堂刻本。,6,738,738a
ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ ᡳ ᠣᠶᠣᠩᡤᠣ ᠪᡝ ᡳᠰᠠᠪᡠᡥᠠ ᠪᡳᡨᡥᡝ,manju gisun i oyonggo be isabuha bithe,〈书〉清语辑要，二卷，光绪十七年（一八九一年）荆州驻防翻译总学刻本。,6,737,737c
ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ ᡳ ᠣᠶᠣᠩᡤᠣ ᠵᠣᡵᡳᠨ ᡳ ᠪᡳᡨᡥᡝ,manju gisun i oyonggo jorin i bithe,〈书〉清文指要，富俊编，五卷，乾隆年间绍衣堂刻本。,6,737,737c
ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ ᡳ ᠪᡠᠯᡝᡴᡠ ᠪᡳᡨᡥᡝ,manju gisun i buleku bithe,〈书〉清文鉴。,6,737,737c
ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ ᡳ ᠰᠣᠨᠵᠣᡶᡳ ᠰᠠᡵᡴᡳᠶᠠᡥᠠ ᠪᡳᡨᡥᡝ,manju gisun i sonjofi sarkiyaha bithe,〈书〉清语摘抄，光绪十五年（一八八九年）刻本。,6,737,737c
ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ ᡳ ᠶᠣᠩᡴᡳᠶᠠᠮᡝ ᡨᠣᡴᡨᠣᠪᡠᡥᠠ ᠪᡳᡨᡥᡝ,manju gisun i yongkiyame toktobuha bithe,〈书〉清文备考，戴▲撰，康熙六十一年（一七二二年）刻本。,6,737,737c
ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ ᡳ ᡠᠨᡨᡠᡥᡠᠨ ᡥᡝᡵᡤᡝᠨ ᡳ ᡨᡝᠮᡤᡝᡨᡠ ᠵᠣᡵᡳᠨ ᠪᡳᡨᡥᡝ,manju gisun i untuhun hergen i temgetu jorin bithe,〈书〉清文虚字指南编，万福撰，二卷，光绪十一年（一八八五年）刻本。,6,737,737c
ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ ᡳ ᡠᡥᡝᡵᡳ ᡳᠰᠠᠪᡠᡥᠠ ᠪᡳᡨᡥᡝ,manju gisun i uheri isabuha bithe,〈书〉清文总汇，志宽、培宽等编，十二卷，光绪二十三年（一八九七年）荆州驻防翻译总学刻本。,6,737,737c
ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ,manju hergen,满文，清文。满文是满族的文字，清代定满语为国语，故又称满文为清文。明万历二十七年（一五九九年）清太祖努尔哈赤命额尔德尼、噶盖二人以蒙文为基础创制满文，因无圈点，故称无圈点字，或老满文。清天聪六年（一六三二年），清太宗皇太极命达海改进满文，于原字母旁加点加圈，又改变某些字母形体，以区别原来不能区分的语音，并增加一些拼写借词用的字母，使之臻于完善。经改进后的满文称有圈点字或新满文。,6,738,738a
ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ ᡳ ᠶᠣᠣᠨᡳ ᠪᡳᡨᡥᡝ,manju hergen i yooni bithe,〈书〉清文全书。,6,738,738a
ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ ᡳ ᡠᡥᡝᡵᡳ ᡴᠣᠣᠯᡳ ᠪᡳᡨᡥᡝ,manju hergen i uheri kooli bithe,〈书〉清字会典。,6,738,738a
ᠮᠠᠨᠵᡠ ᡩᠠᠩᠰᡝ ᠪᠣᠣ,manju dangse boo,〈衙〉满档房，又分作清档房、南档房。南档房属户部，稽察八旗人丁数目及驻防人数造入比丁册档，承办选看秀女，又掌本部满员升补。清档房属礼部，掌管册档，缮写清文奏折。工部亦有清档房，掌守档案，又掌本部旗员之升补。,6,737,737b
ᠮᠠᠨᠵᡠ ᡴᡡᠸᠠᡵᠠᠨ ᡳ ᠴᠣᠣᡥᠠᡳ ᠪᠣᠣ,manju k@waran i coohai boo,满营兵房。,6,737,737a
ᠮᠠᠨᠵᡠ ᡶᡠᡴᠵᡳᠩᡤᠠ ᡥᡝᡵᡤᡝᠨ ᡳ ᡥᠣᡧᠣ ᠪᡝ ᠵᠣᠨᡩᠣᡵᠣ ᠪᡳᡨᡥᡝ,manju fukjingga hergen i hoSo be jondoro bithe,〈书〉清篆举隅，文▲集篆，光绪元年（一八七五年）柳荫山房刻本。,6,738,738a
ᠮᠠᠨᠵᡠᠰᠠ,manjusa,〔名〕众满洲，满洲们。,6,738,738b
ᠮᠠᠨᠵᡠᠰᠠᡳ ᠮᡠᡴᡡᠨ ᡥᠠᠯᠠ ᠪᡝ ᡠᡥᡝᡵᡳ ᡝᠵᡝᡥᡝ ᠪᡳᡨᡥᡝ ᠸᡝᡳᠯᡝᡵᡝ ᡴᡠᡵᡝᠨ,manjusai muk@n hala be uheri ejehe bithe weilere kuren,〈衙〉满洲氏族通谱馆。,6,738,738b
ᠮᠠᠨᠵᡠᠰᠠᡳ ᠸᡝᠴᡝᡵᡝ ᠮᡝᡨᡝᡵᡝ ᡴᠣᠣᠯᡳ ᠪᡳᡨᡥᡝ,manjusai wecere metere kooli bithe,〈书〉满洲祭祀条例。,6,738,738b
ᠮᠠᠨᠵᡠᠰᡳᡵᡳ,manjusiri,〔名〕文殊师利。,6,738,738b
ᠮᠠᠨᠵᡠᠰᡳᡵᡳ ᠨᠣᠮᡠᠨ ᠪᡝ ᡶᠣᠨᠵᡳᡥᠠ ᠨᠣᠮᡠᠨ,manjusiri nomun be fonjiha nomun,〈书〉文殊师利问法经。,6,738,738b
ᠮᠠᠨᠵᡠᠰᡳᡵᡳ ᠨᡳᡵᠸᠠᠨ ᡨᡠᠸᠠᠪᡠᡵᡝ ᠨᠣᠮᡠᠨ,manjusiri nirwan tuwabure nomun,〈书〉文殊师利般涅槃经。,6,738,738b
ᠮᠠᠨᠵᡠᠰᡳᡵᡳ ᠪᠣᡩᡳ ᠪᡝ ᡶᠣᠨᠵᡳᡵᡝ ᠨᠣᠮᡠᠨ,manjusiri bodi be fonjire nomun,〈书〉文殊师利问菩提经。,6,738,738b
ᠮᠠᠨᠵᡠᠰᡳᡵᡳ ᠯᠠᡴᡧᠠᠩᡤᠠ ᠵᡠᡴᡨᡝᡥᡝᠨ,manjusiri lakSangga juktehen,殊像寺，即热河寺庙名。,6,738,738b
ᠮᠠᠨᠵᡠᠰᡳᡵᡳ ᠸᡝᡳᠯᡝᠨ ᡳ ᠨᠣᠮᡠᠨ,manjusiri weilen i nomun,〈书〉文殊师利行经。,6,738,738c
ᠮᠠᠨᠵᡠᠰᡳᡵᡳ ᡤᡠᠮᠠᡵᠠ ᡶᡠᠰᠠ ᡳ ᠠᠪᡯᠠᡵᡠᡤ᠋ᠠ ᡳ ᡩᡠᡵᡠᠨ ᡴᡝᠮᡠᠨ,manjusiri gumara fusa i abdzarug'a i durun kemun,〈书〉文殊师利童真菩萨阿毗遮噜迦仪轨品。,6,738,738c
ᠮᠠᠨᠵᡠᠰᡳᡵᡳ ᡶᡠᠰᠠ ᠨᠣᠮᡠᠨ ᡳ ᡥᡝᡵᡤᡝᠨ ᡳ ᡶᡠᠯᡝᡥᡝ ᠪᡝ ᡶᠣᠨᠵᡳᡥᠠ ᠨᠣᠮᡠᠨ,manjusiri fusa nomun i hergen i fulehe be fonjiha nomun,〈书〉文殊问经字母品。,6,738,738c
ᠮᠠᠨᠵᡠᠰᡳᡵᡳ ᡶᡠᠰᠠ ᡶᡠᠴᡳᡥᡳ ᠮᠠᡴᡨᠠᠮᡝ ᡩᠣᡵᠣᠯᠣᡵᠣ ᠨᠣᠮᡠᠨ,manjusiri fusa fucihi maktame doroloro nomun,〈书〉文殊师利赞法身礼。,6,738,738c
ᠮᠠᠨᠵᡠᠰᡳᡵᡳ ᡶᡠᠰᠠᡳ ᠨᠣᠮᡠᠯᠠᡥᠠ ᡩᠣᡵᠣ ᡝᠮᡠ ᡶᡳᠶᡝᠯᡝᠨ,manjusiri fusai nomulaha doro emu fiyelen,〈书〉文殊师利菩萨法一经。,6,738,738c
ᠮᠠᠨᠵᡠᠰᡳᡵᡳ ᡶᡠᠰᠠ ᡳ ᠠᠮᠪᠠ ᡥᠣᡵᠣᠨ ᡝᡵᡩᡝᠮᡠᠩᡤᡝ ᡩᡠᡵᡠᠨ ᡴᡝᠮᡠᠨ,manjusiri fusa i amba horon erdemungge durun kemun,〈书〉文殊师利菩萨大成德仪轨品。,6,738,738c
ᠮᠠᠨᠵᡠᠰᡳᡵᡳ ᡶᡠᠰᠠ ᡳ ᡩᡠᡵᡠᠨ ᡴᡝᠮᡠᠨ ᡳ ᠵᡠᡴᡨᡝᠮᡝ ᡩᠣᠪᠣᡵᠣ ᡩᠣᡵᠣ,manjusiri fusa i durun kemun i jukteme doboro doro,〈书〉文殊师利菩萨仪轨供养法。,6,738,738c
ᠮᠠᠨᠵᡠᠰᡳᡵᡳ ᡳ ᠪᠣᠣᠪᠠᡳ ᡳᡴᡨᠠᠨ ᠰᡝᡵᡝ ᡨᠠᡵᠨᡳ ᠨᠣᠮᡠᠨ,manjusiri i boobai iktan sere tarni nomun,〈书〉文殊师利宝藏经。,6,738,738b
ᠮᠠᠨᠵᡠᠰᡳᡵᡳ ᡳ ᠰᡠᠨᠵᠠ ᡥᡝᡵᡤᡝᠨ ᡨᠠᡵᠨᡳ ᡳ ᠸᡝᠰᡳᡥᡠᠨ ᠠᡵᠪᡠᠨ,manjusiri i sunja hergen tarni i wesihun arbun,〈书〉文殊五字真言胜相。,6,738,738b
ᠮᠠᠨᠵᡠᡵᠠᠮᠪᡳ,manjurambi,〔及、不及〕①说满语，说清语。②仿效满洲习俗。,6,738,738c
ᠮᠠᠨᠵᡠᡵᠠᠮᡝ ᡠᠪᠠᠯᡳᠶᠠᠮᠪᡠᠮᠪᡳ,manjurame ubaliyambumbi,满译，译成满文。,6,738,738c
ᠮᠠᠨᠵᡠᡵᠠᠮᡝ ᡠᠪᠠᠯᡳᠶᠠᠮᠪᡠᡥᠠ ᡨᠠᡵᠨᡳ ᡥᡡᠯᠠᡵᠠ ᠠᡵᡤᠠ,manjurame ubaliyambuha tarni h@lara arga,〈书〉读咒法，乾隆年间刻本。,6,738,738c
ᠮᠠᠨᡩᠠ,manda,〔形〕①慢的，缓慢的，迟缓的，迟慢的，迂缓的。②迟钝的。,6,736,736c
ᠮᠠᠨᡩᠠ ᠮᠣᡩᠣ,manda modo,迟钝。,6,736,736c
ᠮᠠᠨᡩᠠ ᠰᡠᠯᠠ,manda sula,优柔。,6,736,736c
ᠮᠠᠨᡩᠠᠯ,mandal,〔名〕坛，祭坛，曼荼罗： hoton mandal 坛场； hesei sahaliyan muduri juce de aga baire jalin mandal ilibumbi 命于黑龙潭设坛祈雨。,6,736,736c
ᠮᠠᠨᡩᠠᠯ ᠨᡝᡳᠮᠪᡳ,mandal neimbi,开坛。,6,736,736c
ᠮᠠᠨᡩᠠᠯ ᠪᠣᠯᡤᡡᠮᡳᠮᠪᡳ,mandal bolg@mimbi,熏坛，即念经前先拈香念诵一次曰熏坛。,6,736,736c
ᠮᠠᠨᡩᠠᠯ ᡝᡳᡨᡝᠨ ᠰᡠᡳ ᠸᡝᡳᠯᡝ ᠪᡝ ᠮᠠᠶᠠᠮᠪᡠᡵᡝ ᠨᠣᠮᡠᠨ,mandal eiten sui weile be mayambure nomun,〈书〉曼荼罗灭一切罪经。,6,736,736c
ᠮᠠᠨᡩᠠᠯ ᡳᠯᡥᠠ,mandal ilha,〈植〉曼陀罗花。,6,736,736c
ᠮᠠᠨᡩᠠᡴᠠᠨ,mandakan,〔形〕稍慢的，略微缓慢的。,6,736,736c
ᠮᠠᠨᡩᠠᡵᠠᠸᠠ ᡳᠯᡥᠠ,mandarawa ilha,优钵昙花，又作优昙花、优昙婆罗花。,6,736,736c
ᠮᠠᠨᡩᡠ ᠰᡝᠮᡤᡴᡠᠯᡝ,mandu semgkule,〈植〉丰本，见《曲礼》韭曰丰本。,6,736,736c
ᠮᠠᠨᡩᡠᠮᠪᡳ,mandumbi,〔不及〕长大，长成，长结实，成熟。,6,737,737a
ᠮᠠᠨᡳ,mani,〔名〕念珠： mani tolome banjimbi 数着念珠过日子。,6,736,736b
ᠮᠠᠨᡳᠰᡳ ᡤᠠᠯ ᡴᠠᡵᡠᠨ,manisi gal karun,〈地〉玛尼士噶勒卡伦，冬设，在噶勒济尔巴什以西、额尔齐斯河上游及宰桑淖尔北岸，卡伦西有哈雅尔巴斯河，隶科布多参赞大臣。,6,736,736b
ᠮᠠᠨᡳᡨᡠ ᡴᠠᡩᡠᠯᡤᠠᠨ ᡴᠠᡵᡠᠨ,manitu kadulgan karun,〈地〉玛尼图噶图勒干卡伦，冬设，在额尔齐斯河上游南岸、宰桑淖尔之东，自卡伦西至鄂伦布拉克一百二十里，隶塔尔巴哈台参赞大臣。,6,736,736b
ᠮᠠᠨᡳᡨᡠ ᡴᠠᡵᡠᠨ,manitu karun,〈地〉玛尼图卡伦，西南至沙拉布拉克九十里，隶塔尔巴哈台参赞大臣。,6,736,736b
ᠮᠠᠩ ᠣᡵᡥᠣ ᡠᠰᡝᠨᡝᠮᠪᡳ,mang orho usenembi,= maise urembi①。,6,739,739a
ᠮᠠᠩᠨᠠᡳ ᡴᠠᡵᡠᠨ,mangnai karun,〈地〉莽鼐卡伦，隶齐齐哈尔城副都统。,6,739,739a
ᠮᠠᠩᡤᠠ,mangga,〔形〕①硬的，坚硬的，坚固的： moo i feten akdun mangga 木质坚硬。②难的，艰难的，繁难的，难办的，艰巨的： yaya baita tuwaci ja bicibe yabuci mangga 凡事视之易而作之难。③苦的，困苦的，苦难的，艰苦的： boo banjirengge gosihon mangga 家计艰难。④能干的，精干的，厉害的，不简单的： mangga bata de ucaraha 遇到劲敌。⑤贵的，昂贵的，高价的： bele i h@da mangga 米价昂贵。⑥善，善于，好，喜爱，肯，善长： bithe h@lara mangga 肯读书； boo banjire mangga 善于持家； cooha baitalara de mangga 善于用兵； ere juwe niyalma be gabtabume tuwafi mangga seme maktahak@ngge ak@ 请此二人步射，莫不称善。⑦坚韧的，刚毅的，刚强的： daci mangga bime cokto ak@ 平日刚而无矜。⑧刚，封谥等处用语，其 dasan fafun getuken kengse ningge be mangga sembi 政刑明断曰刚。〔名〕困难，艰难，艰巨，困苦，苦难，艰苦： mangga be eteme mutembi 能克服困难； mangga haksan ci jailarak@ 不避艰险。,6,739,739a
ᠮᠠᠩᡤᠠ ᠠᠮᠪᠠ ᡥᠠᡴᠰᠠᠨ ᡥᠠᡳᠯᠠᠰᡥᡡᠨ,mangga amba haksan hailash@n,艰巨险阻。,6,739,739b
ᠮᠠᠩᡤᠠ ᠠᡵᠠᠮᠪᡳ,mangga arambi,逞强。,6,739,739b
ᠮᠠᠩᡤᠠ ᠨᡳᠶᡝᠴᡝᠨ,mangga niyecen,靴主根，即靴子里面的后根皮。,6,739,739b
ᠮᠠᠩᡤᠠ ᠪᠠᡨᠠ,mangga bata,劲敌。,6,739,739c
ᠮᠠᠩᡤᠠ ᠪᠠᡳᡨᠠ ᠴᡳ ᠵᠠᡳᠯᠠᠮᡝ ᠵᠠ ᠪᠠᡳᡨᠠ ᠪᡝ ᡳᠴᡳᡥᡳᠶᠠᠮᠪᡳ,mangga baita ci jailame ja baita be icihiyambi,避难就易。,6,739,739c
ᠮᠠᠩᡤᠠ ᠪᡝ ᠨᡝᠨᡩᡝᠨ ᠪᠠᡥᠠᡵᠠ ᠪᡝ ᠠᠮᠠᠯᠠ ᠣᠪᡠᠮᠪᡳ,mangga be nenden bahara be amala obumbi,先难而后获。,6,739,739c
ᠮᠠᠩᡤᠠ ᠪᡝ ᠨᡳᡴᡝᠪᡠᠮᠪᡳ,mangga be nikebumbi,责难。,6,739,739c
ᠮᠠᠩᡤᠠ ᠪᡝ ᠮᠠᠶᠠᠮᠪᡠᡶᡳ ᠵᡳᠯᡳ ᠪᡝ ᠨᡳᡨᠠᡵᠠᠮᠪᡠᠮᠪᡳ,mangga be mayambufi jili be nitarambumbi,排难解忿。,6,739,739c
