manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᠨᠠ,na,〔名〕① 地，土地，大地。②衬山儿，指绸、缎、布 等物上面无花纹处的地儿。,6,230,230a
ᠨᠠ ᠠᡧᡧᠠᠮᠪᡳ,na aSSambi,地震。,6,230,230a
ᠨᠠ ᠠᡧᡧᠠᡶᡳ ᡤᠠᠰᡥᠠᠨ ᡩᡝ ᡩᠣᠰᡳᡴᠠ,na aSSafi gashan de dosika,地震成灾。,6,230,230a
ᠨᠠ ᠪᡝ ᠨᠠᡵᠠᡧᠠᠮᡝ ᡤᡠᡵᡳᡵᡝ ᠪᡝ ᠮᠠᠩᡤᠠᡧᠠᠮᠪᡳ,na be naraSame gurire be manggaSambi,安土重迁。,6,230,230c
ᠨᠠ ᠰᡠᠯᡥᡠᡥᡝ ᡝᡵᡳᠨ ᠪᡝ ᠠᠮᠴᠠᠮᡝ,na sulhuhe erin be amcame,趁地软之际。,6,230,230c
ᠨᠠ ᡨᡠᡥᡳᠶᡝᡥᡝ ᡩᡠᡴᠠ,na tuhiyehe duka,地载门，盛京小北门名。,6,230,230c
ᠨᠠ ᡩᡝ ᡝᠯᡥᡝ ᠠᠪᡴᠠ ᡩᡝ ᠰᡝᠪᠵᡝᠯᡝᠮᠪᡳ,na de elhe abka de sebjelembi,安土乐天。,6,230,230c
ᠨᠠ ᡩᡝ ᡠᠴᡠᠪᡠᠮᠪᡳ,na de ucubumbi,凃地。,6,230,230c
ᠨᠠ ᡩᡝ ᡥᡠᠵᡠᡶᡳ ᡥᡝᠩᡴᡳᡧᡝᠮᠪᡳ,na de hujufi hengkiSembi,伏地稽首。,6,230,230c
ᠨᠠ ᡩᡝ ᡶᠠᡳᡩᠠᠮᡝ ᡨᡝᠮᠪᡳ,na de faidame tembi,席地而尘。,6,230,230c
ᠨᠠᠨᡨᡠᡥᡡᠨ,nantuh@n,〔形〕①脏的，肮脏的，污秽的，龌龊的。②下流的，猥亵的，秽乱的。③贪赃的。,6,231,231a
