manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡦᠠᠨ,pan,〔名〕云牌，云板。,6,460,460a
ᡦᠠᠨᠰᡝ,panse,〔名〕①棋盘：abka be tonio panse obufi usiha be tonio obufi we gelhun ak@ sindambi 天作棋盘星作子谁人敢下。②盘子。,6,460,460a
ᡦᠠᠨᠴᠠᠨ,pancan,〔名〕盘缠。,6,460,460a
ᡦᠠᠨᠴᠠᠯᠠᠮᠪᡳ,pancalambi,〔及〕作盘缠。,6,460,460a
ᡦᠠᠨᠴᠠᠯᠠᡵᠠ ᠮᡝᠩᡤᡠᠨ,pancalara menggun,盘缠银。,6,460,460a
ᡦᠠᠨᡨᠣᠩᡤᠠ ᠵᠠᠰᡝ,pantongga jase,〈地〉潘桃口。,6,460,460a
ᡦᠠᠩᠰᡝ ᠵᠠᡥᡡᡩᠠᡳ,pangse jah@dai,■仔船。一种战船名。,6,460,460a
ᡦᠠᠩᡤᡳᠶᠠ ᠵᠠᠰᡝ,panggiya jase,〈地〉潘家口。,6,460,460a
ᡦᠠᠩᡥᠠᡳ,panghai,〔名〕〈东〉螃蟹，= katuri。,6,460,460a
ᡦᠠᠮᡦᡠ,pampu,〔名〕厚小棉袄。,6,460,460b
ᡦᠠᠯᡨᠠ ᠸᡝᡥᡝ,palta wehe,金刚石。,6,460,460b
ᡦᠠᠯᡨᠠ ᠸᡝᡥᡝ ᡳ ᠠᠰᡥᠠᠩᡤᠠ ᠮᡝᡳᡥᡝ,palta wehe i ashangga meihe,金刚石飞蛇。,6,460,460b
ᡦᠠᠯᡨᠠᡵᡳ,paltari,〔名〕金刚钻。,6,460,460b
ᡦᠠᡤᡝ,page,〔名〕石饼子，玩背式骨时手里拿的小石马子，或背式骨马子先打去赌输赢者名色。,6,460,460b
ᡦᠠᡨᠠ,pata,〔象〕啪嗒。,6,460,460b
ᡦᠠᡨᠠ ᡦᡳᡨᡳ,pata piti,①啪嗒啪嗒，劈里啪啦，劈劈啪啪，指果子等掉地，或鱼跳之声。②背重物脚下站不稳之貌。,6,460,460b
ᡦᠠᡨᠠᡴ,patak,〔象〕哐当，硬物坠地声。,6,460,460b
ᡦᠠᡨᠠᡵ,patar,〔象〕扑棱。,6,460,460b
ᡦᠠᡨᠠᡵ ᡦᡳᡨᡳᡵ,patar pitir,噗啦啦，扑棱棱，网里的鱼或笼里的鸟挣跳声。,6,460,460b
ᡦᠠᡳ,pai,〔名〕①牌位。②牌。,6,460,460a
ᡦᠠᡳ ᡶᠠᠩ ᡳᠯᡳᠪᡠᠮᠪᡳ,pai fang ilibumbi,〔名〕 建坊。,6,460,460a
ᡦᠠᡳᠯᡠ,pailu,〔名〕牌楼。,6,460,460a
ᡦᠠᡴ,pak,〔象〕劈啪，啪嗒。,6,460,460b
ᡦᠠᡴ ᠰᡝᠮᡝ,pak seme,饭肉干硬不顺口。,6,460,460b
ᡦᠠᡴ ᡦᡳᡴ,pak pik,劈里啪啦，劈劈啪啪。,6,460,460b
