manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᠰᠠ,sa,〔名〕①车辕，= fara。②白草，麻草，此草可制凉帽面。③们、等，即名词复数的复加成分之一：ambasa 大臣们。〔及〕 sambi 的命令式。,6,464,464a
ᠰᠠᠨᠰᡳ,sansi,〔名〕〈地〉山西。,6,469,469c
ᠰᠠᠨᠰᡳ ᡤᠣᠯᠣᡳ ᠪᠣᠯᡤᠣᠪᡠᡵᡝ ᡶᡳᠶᡝᠨᡨᡝᠨ,sansi goloi bolgobure fiyenten,〈衙〉山西清吏司，隶户部，掌核本省钱粮收支。又刑部司名，掌核本省刑名，收办军机处、内阁、翰林院、詹事府、内务府、山西道御史、北城御史等之文移。,6,469,469c
ᠰᠠᠨᠰᡳ ᡤᠣᠯᠣᡳ ᡩᠣᠣᠯᡳ ᠶᠠᠮᡠᠨ,sansi goloi dooli yamun,〈衙〉山西道，顺治元年设，隶都察院，掌核该省刑名，稽察兵部、翰林院、六科、中书科、户部仓场衙门等，并会同兵部制签。,6,469,469c
ᠰᠠᠨᠰᡳ ᡤᠣᠯᠣᡳ ᡴᡠᠩᡤᡝᡵᡳ,sansi goloi kunggeri,〈衙〉山西科。,6,469,469c
ᠰᠠᠨᠰᡳ ᡤᠣᠯᠣᡳ ᡶᡳᠶᡝᠨᡨᡝᠨ,sansi goloi fiyenten,〈衙〉山西司，隶户部，稽核山西省钱粮数目，掌各省岁入额征银数，岁出支销银数。,6,470,470a
ᠰᠠᠨᠴᠠ,sanca,〔名〕木耳。,6,470,470a
ᠰᠠᠨᠴᠠᡥᠠ ᠪᡳᡵᠠ,sancaha bira,〈地〉三汊河，即浑河、巨流河、太子河汇合为三汊河。,6,470,470a
ᠰᠠᠨᠴᠠᡵᠠ ᠠᠩᡤᠠ,sancara angga,〈地〉三岔口，辽宁地名，在开原东南。,6,470,470b
ᠰᠠᠨᠴᡠ,sancu,〔名〕霰。,6,470,470b
ᠰᠠᠨᠴᡳᡥᠠ,sanciha,〔名〕①（马牛驼的）鼻钩子。②（打鸟夹子的）夹子嘴。,6,470,470b
ᠰᠠᠨᠵᡠ,sanju,〔名〕三珠。,6,470,470b
ᠰᠠᠨᡩᠠᠯᠠᠪᡠᠮᠪᡳ,sandalabumbi,〔不及〕相隔，相距，间隔： hoton ci sandalabuhangge umesi goro 离城很远。,6,470,470a
ᠰᠠᠨᡩᠠᠯᠠᠪᡠᡥᠠ ᠰᡳᡩᡝᠨ,sandalabuha siden,距离，间隔。,6,470,470a
ᠰᠠᠨᡩᠠᠯᠠᠮᠪᡳ,sandalambi,〔及〕叉开。,6,470,470a
ᠰᠠᠨᡩᠠᠯᠠᠮᡝ ᡨᡝᡶᡳ ᠣᡳᡥᠣᡵᡳᠯᠠᠮᡝ ᡥᡝᠣᠯᡝᡩᡝᠮᠪᡳ,sandalame tefi oihorilame heoledembi,箕踞傲慢。,6,470,470a
ᠰᠠᠨᡩᠠᠯᠠᠮᡝ ᡨᡝᡶᡳ ᡶᡠᠰᡳᡥᡡᠯᠠᠮᡝ ᡨᠣᠣᠮᠪᡳ,sandalame tefi fusih@lame toombi,箕踞漫骂。,6,470,470a
ᠰᠠᠨᡩᠠᡵᡧᠠᠮᠪᡳ,sandarSambi,〔不及〕①一拽一跩地走。②频频叉开（腿）。,6,470,470a
ᠰᠠᠨᡩᡠᡥᠠ ᡤᡠᠴᡠ,sanduha gucu,莫逆之交。,6,470,470a
ᠰᠠᠨᡩᡳ ᡳ ᠨᠠᡵᡥᡡᠨ ᠣᠶᠣᠩᡤᠣ ᡩᠣᡵᠣᡳ ᠨᠣᠮᡠᠨ,sandi i narh@n oyonggo doroi nomun,〈书〉禅秘要法经。,6,470,470a
ᠰᠠᠨᡳᠶᠠᠨ,saniyan,〔名〕（伸屈之）伸。,6,469,469b
ᠰᠠᠨᡳᠶᠠᠩᡤᠠ,saniyangga,〔形〕延，封谥等处用语。,6,469,469b
