manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡨᠠ ᠰᡝᠮᡝ,ta seme,常常，为断地。,6,573,573a
ᡨᠠ ᠰᡝᠮᡝ ᠵᡳᡩᡝᡵᠠᡴᡡ,ta seme jiderak@,不常来往。,6,573,573a
ᡨᠠ ᠰᡝᠮᡝ ᠸᠠᠯᡤᡳᠶᠠᠮᡝ ᡝᡩᡠᠩᡤᡳᠶᡝᡥᡝᡴᡡ,ta seme walgiyame edunggiyehek@,风晾不勤。,6,573,573a
ᡨᠠ ᠰᡝᠮᡝ ᡨᠠ ᠰᡝᠮᡝ ᠵᡳᠪᡠᡥᡝᠪᡳ,ta seme ta seme jibuhebi,源源而来。,6,573,573a
ᡨᠠ ᡨᡳ ᠰᡝᠮᡝ,ta ti seme,一齐努力。,6,573,573a
ᡨᠠᠨ,tan,〔名〕滩，浅滩，河滩。,6,575,575a
ᡨᠠᠨ ᠰᠣᠣᡵᡳᠨ,tan soorin,兵坛。,6,575,575a
ᡨᠠᠨ ᡤᡠᠩ ᠨᡳ ᡶᡳᠶᡝᠯᡝᠨ,tan gung ni fiyelen,檀弓，《礼记》篇名。,6,575,575a
ᡨᠠᠨᠠ,tana,〔名〕①东珠。②多根葱，又作葱、小野韭、生于碱卤地，形如硷韭菜，羊只爱吃。,6,575,575a
ᡨᠠᠨᠠ ᠵᡠᠩᡤᡳᠨ,tana junggin,珠锦。,6,575,575a
ᡨᠠᠨᠠ ᡤᡠ ᠨᡳᠴᡠᡥᡝ ᠪᠣᠣᠪᠠᡳ,tana gu nicuhe boobai,珠玉珍宝。,6,575,575a
ᡨᠠᠨᠠᠩᡤᠠ,tanangga,〔形〕像珠宝样的。,6,575,575a
ᡨᠠᠨᠠᠩᡤᠠ ᡳᠯᡥᠠ,tanangga ilha,〈植〉蕊珠花。,6,575,575a
ᡨᠠᠨᠵᠠᠮᠪᡳ,tanjambi,〔不及〕①说话不利索，打蹬。②口吃，结巴： angga tanjame heledembi 口吃。,6,575,575c
ᡨᠠᠨᠵᠠᠮᡝ ᠪᠠ,tanjame ba,碍处。,6,575,575c
ᡨᠠᠨᠵᠠᠮᡝ ᡤᡳᠰᡠᡵᡝᠮᠪᡳ,tanjame gisurembi,言语寒滞。,6,575,575c
ᡨᠠᠨᠵᡠᡵᠠᠮᠪᡳ,tanjurambi,〔不及〕祷告，在神祗面求福祝祷。,6,575,575c
ᡨᠠᠨᠵᡳ,tanji,〔量〕须臾，一 tanji 为十 g'aci （瞬息），十 tanji 为一 yutu（逡巡）。,6,575,575c
ᡨᠠᠨᡨᠠᠨᡠᠮᠪᡳ,tantanumbi,〔不及〕又作 tantandumbi ① tantambi 的互动态。②斗殴，打架。,6,575,575a
ᡨᠠᠨᡨᠠᠪᡠᠮᠪᡳ,tantabumbi,〔及、不及〕①使打： wang da be baime tantabume guilehe 邀同王大寻打。②被打，挨打。,6,575,575a
ᡨᠠᠨᡨᠠᠪᡡᠮᠪᡳ,tantab@mbi,〔及〕= tantabumbi①。,6,575,575b
ᡨᠠᠨᡨᠠᠮᠪᡳ,tantambi,〔及〕打，责打，拷打，又作tandambi。,6,575,575b
ᡨᠠᠨᡨᠠᠮᡝ ᠪᡠᠴᡝᠪᡠᡥᡝ,tantame bucebuhe,殴杀，打死。,6,575,575b
ᡨᠠᠨᡨᠠᠮᡝ ᠮᡠᡴᡳᠶᡝᠪᡠᠮᠪᡳ,tantame mukiyebumbi,扑灭。,6,575,575b
ᡨᠠᠨᡨᠠᠮᡝ ᠸᠠᠮᠪᡳ,tantame wambi,打死，格杀，殴杀。,6,575,575b
ᡨᠠᠨᡨᠠᠮᡝ ᠸᠠᡵᠠ ᠸᡝᡳᠯᡝᠩᡤᡝ ᠨᡳᠶᠠᠯᠮᠠ ᡤᡳᠨᡩᠠᠨᠠ ᠪᡝ ᡩᠠᠪᠠᡶᡳ ᡠᡴᠠᡥᠠ ᠪᡝ ᠰᡝᡵᡝᠮᡧᡝᡵᡝ ᡩᡝ ᠣᡳᡥᠣᡵᡳᠯᠠᡥᠠ,tantame wara weilengge niyalma gindana be dabafi ukaha be seremSere de oihorilaha,疏防死囚越狱脱逃。,6,575,575b
ᡨᠠᠨᡨᠠᠮᡝ ᡝᡵᡤᡝᠯᡝᠮᠪᡳ,tantame ergelembi,打逼，拷打以逼。,6,575,575b
ᡨᠠᠨᡨᠠᠮᡝ ᡨᠠᠴᡳᡥᠠ ᠨᡳᠶᠠᠯᠮᠠ,tantame taciha niyalma,槌师打手，四方行教或受雇于官绅富豪之武人。,6,575,575b
ᡨᠠᠨᡨᠠᠮᡝ ᡩᡠᡵᡳᠮᠪᡳ,tantame durimbi,打夺。,6,575,575b
ᡨᠠᠨᡨᠠᠮᡝ ᡴᠣᡴᡳᡵᠠᠮᠪᡳ,tantame kokirambi,打伤。,6,575,575b
ᡨᠠᠨᡨᠠᠵᠠᠮᠪᡳ,tantajambi,〔不及〕①说话不利索，打蹬。②口吃，结巴。,6,575,575b
ᡨᠠᠨᡨᠠᠵᠠᡵᠠ ᠪᠠ ᠠᡴᡡ,tantajara ba ak@,不打蹬。,6,575,575b
ᡨᠠᠨᡨᠠᡥᠠ ᡶᡝᠶᡝ ᡝᡵᡤᡝᠨ ᡩᡝ ᡳᠰᡳᠨᠠᡥᠠ,tantaha feye ergen de isinaha,殴伤致命。,6,575,575b
