manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡠ,u,〔名〕刺，剌刺： u unaha 扎刺。〔象〕鸣。,6,182,182a
ᡠ ᡠ,u u,恸哭、号哭之声。,6,182,182a
ᡠ ᡩᠠ,u da,长辈。,6,182,182a
ᡠᠨ,un,〔名〕猪窝。,6,182,182b
ᡠᠨᠠ,una,〔名〕<植>托盘果，又名祀。,6,182,182b
ᡠᠨᠠᠰᡠ,unasu,〔名〕<动>恶那西约，一种异兽名。,6,182,182b
ᡠᠨᠠᡥᠠᠨ,unahan,〔名〕①（一岁内的）马驹子。②驹。,6,182,182b
ᡠᠨᠠᡥᠠᠨ ᠰᡠᠮᠪᡳ,unahan sumbi,堕驹子，（马）流产。,6,182,182b
ᡠᠨᠴᠠᠮᠪᡳ,uncambi,〔及〕卖。销售，出卖，叛卖，售卖。,6,186,186c
ᡠᠨᠴᠠᠮᡝ ᠯᠠᡨᡠᠮᠪᡳ,uncame latumbi,卖奸。,6,186,186c
ᡠᠨᠴᠠᡵᠠ,uncara,买卖，籴粜。,6,197,197c
ᡠᠨᠴᡝᡥᡝᠨ,uncehen,〔名〕①尾，尾巴。②末尾，末端，结尾： hergen i uncehen字尾。,6,186,186c
ᡠᠨᠴᡝᡥᡝᠨ ᠠᡧᡧᠠᠮᡝ ᠶᠠᠪᡠᠮᠪᡳ,uncehen aSSame yabumbi,（牲口）颠走。,6,186,186c
ᡠᠨᠴᡝᡥᡝᠨ ᠪᠣᡧᠣᡵᠣ ᠠᡤᠠ,uncehen boSoro aga,阵头雨，即雨将停，忽又下一阵雨。,6,187,187a
ᡠᠨᠴᡝᡥᡝᠨ ᠰᡳᡵᠪᠠᡧᠠᠮᡝ ᡤᠣᠰᡳᡵᡝ ᠪᡝ ᠪᠠᡳᠮᠪᡳ,uncehen sirbaSame gosire be baimbi,摇尾乞怜。,6,187,187a
