manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᠸᠠ,wa,〔名〕气味，味道，滋味。〔及〕 wambi 的命令式。,6,1075-,1075-(1)
ᠸᠠ ᡠᠰᡠᠨ,wa usun,恶臭。,6,1075-,1075-(1)
ᠸᠠᠨ,wan,〔名〕梯子。,6,1075-,1075-(3)
ᠸᠠᠨ ᡧᡝᠣ ᡧᠠᠨ,wan Seo San,〈地〉万寿山，原名瓮山，乾隆十五年三月钦改为万寿山。,6,1075-,1075-(3)
ᠸᠠᠨᠴᠠᡵᠠᠮᠪᡳ,wancarambi,〔及〕①挨擦，触动，着边，沾边。②讥讽。,6,1076,1076a
ᠸᠠᠨᠴᡳ,wanci,〔名〕（小池小水坑的）不冻处。,6,1076,1076a
ᠸᠠᠨᡨᠠᠩᡤᠠ ᡥᠣᠪᠣ,wantangga hobo,金棺，即棺材。,6,1075-,1075-(3)
ᠸᠠᠨᡨᠠᠩᡤᠠ ᡨᡝᡨᡠᠨ,wantangga tetun,= wantangga hobo,6,1076,1076a
ᠸᠠᠨᡨᠠᡥᠠ,wantaha,〔名〕〈植〉杉木。,6,1076,1076a
ᠸᠠᠨᡨᠠᡥᠠᡳ ᡧᠠᡵᡨᠠᠨ,wantahai Sartan,杉木，杉篙。,6,1076,1076a
ᠸᠠᠨᡩᡠᠮᠪᡳ,wandumbi,〔及、不及〕① wambi 的互动态。②相杀，乱杀。,6,1076,1076a
ᠸᠠᠩ,wang,〔名〕王，指帝王或最高爵位的人。,6,1076,1076a
ᠸᠠᠩ ᠨᡳ ᡩᡠᡴᠠᡳ ᡥᡳᠶᠠ,wang ni dukai hiya,护卫，指王、贝勒、贝子的随从侍卫。,6,1076,1076a
ᠸᠠᠩ ᠨᡳ ᡴᠣᠣᠯᡳ,wang ni kooli,〈书〉王制，《礼记》篇名。,6,1076,1076a
ᠸᠠᠩ ᠰᠠᡳ ᠪᠠᡳᡨᠠᡳ ᡴᡠᠩᡤᡝᡵᡳ,wang sai baitai kunggeri,〈衙〉王府科，隶礼部下仪制清吏司，又兵部下武库清吏司亦有此科。,6,1076,1076a
ᠸᠠᠩ ᠸᠠᠩ,wang wang,狺狺，汪汪。,6,1076,1076a
ᠸᠠᠩ ᡤᡠᠩ ᠰᠠᡳ ᡳᠯᡝᡨᡠᠨ ᡠᠯᠠᠪᡠᠨ,wang gung sai iletun ulabun,〈书〉王公表传，又作wang gung ni temgetulehe ulabun。,6,1076,1076a
ᠸᠠᠩ ᡤᡳᠶᠠ ᡳᠩ ᠨᡳ ᡶᡝ ᠪᡳᠰᡳᡵᡝ ᠮᡠᡴᡝ ᡝᡴᡳᠶᡝᠮᠪᡠᡵᡝ ᡩᠠᠯᠠᠩᡤᠠ,wang giya ing ni fe bisire muke ekiyembure dalangga,王营旧减坝。,6,1076,1076a
ᠸᠠᠩᠨᠠᠮᠪᡳ,wangnambi,〔及〕刺绣，扎花儿，= Seolembi。,6,1076,1076a
ᠸᠠᠩᠨᠠᡥᠠ ᠰᠠᠪᡠ,wangnaha sabu,绣花鞋，扎花鞋。,6,1076,1076b
ᠸᠠᠩᡤᠠ,wangga,〔形〕香的，喷香的，香喷喷的。〈动〉▲▲，一种水鸟名。,6,1076,1076b
ᠸᠠᠩᡤᠠ ᠣᡵᡥᠣ,wangga orho,芳草。,6,1076,1076b
ᠸᠠᠩᡤᠠ ᠨᡳᠮᡝᠩᡤᡳ,wangga nimenggi,香油。,6,1076,1076b
ᠸᠠᠩᡤᠠ ᠰᠣᡤᡳ,wangga sogi,〈植〉香菜。,6,1076,1076b
ᠸᠠᠩᡤᠠ ᠰᡳᠩᡤᡝᡵᡳ,wangga singgeri,〈动〉香鼠。,6,1076,1076b
