manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᠶᠠ,ya,"〔名〕烟霭，烟雾，霭气。〔代〕谁，何，哪个： abka na i siden de gemu mini boo, edun biya ya booi adaki waka 乾坤到处皆吾室，风月谁家不是邻。",6,891,891a
ᠶᠠ ᠪᠠᡩᡝ ᡨᡝᠮᠪᡳ ᠰᡝᠮᡝ ᠮᠣᡥᠣᠪᡠᠮᡝ ᡶᠣᠨᠵᡳᠮᠪᡳ,ya bade tembi seme mohobume fonjimbi,穷问居止，研问居止。,6,891,891a
ᠶᠠ ᠵᠠᠯᡤᠠᠨ ᡨᠣᠨ ᠸᠠᡴᠠ,ya jalgan ton waka,孰非命算。,6,891,891a
ᠶᠠ ᡤᡝᠮᡠ ᡝᡵᡝ ᡤᡳᠶᠠᠨ ᠸᠠᡴᠠ,ya gemu ere giyan waka,无非此理。,6,891,891a
ᠶᠠ ᡥᡡ ᡶᡠᡵᡩᠠᠨ,ya h@ furdan,〈地〉鸦鹘关。,6,891,891a
ᠶᠠ ᡩᡝ ᠵᠠᠪᡧᠠᡵᠠ ᠶᠠ ᡩᡝ ᡠᡶᠠᡵᠠᡵᠠ,ya de jabSara ya de ufarara,孰得孰失。,6,891,891a
ᠶᠠᠨ,yan,〔量〕两。,6,891,891a
ᠶᠠᠨᡩᠠᠴᡳ,yandaci,〔名〕〈动〉獾崽。,6,891,891a
ᠶᠠᠨᡩᡠᠮᠪᡳ,yandumbi,〔及〕烦请，央求，请托，求望。,6,891,891a
ᠶᠠᠨᡩᡠᠮᡝ ᠪᠠᡳᠮᠪᡳ,yandume baimbi,嘱托，央请。,6,891,891b
ᠶᠠᠨᡩᡠᠮᡝ ᠪᠠᡳᠮᡝ ᠵᠠᠪᡧᠠᠨ ᡩᡝ ᡩᠣᠰᡳᠮᠪᡳ,yandume baime jabSan de dosimbi,夤缘幸进。,6,891,891b
ᠶᠠᠨᡩᡠᠮᡝ ᠪᠠᡳᠮᡝ ᡠᠯᡳᠨ ᠰᡳᠮᡝ ᠶᠠᠪᡠᠮᠪᡳ,yandume baime ulin sime yabumbi,夤缘通贿，请托贿赂。,6,891,891b
ᠶᠠᠨᡩᡠᠮᡝ ᠪᠠᡳᠮᡝ ᡠᠯᡳᠨᡨᡠᠮᡝ ᠶᠠᠪᡠᠮᠪᡳ,yandume baime ulintume yabumbi,请托贿赂。,6,891,891b
ᠶᠠᠨᡩᡠᡤᠠᠨ,yandugan,〔名〕烦央，嘱托，请托，求望。,6,891,891a
